Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 29.45     17.76    17.76                             hashtable_find (hashtable.h:292 @ 475c)
  6.75     21.83     4.07                             rs_signature_find_match (sumset.c:253 @ 4737)
  5.79     25.32     3.49 536887296     6.50     6.50  rs_signature_find_match (sumset.c:247 @ 4720)
  5.08     28.38     3.06                             rs_signature_find_match (sumset.c:257 @ 487b)
  4.55     31.12     2.75                             RollsumRotate (rollsum.h:51 @ 5fc0)
  3.81     33.42     2.30                             RollsumRotate (rollsum.h:52 @ 5fb8)
  3.42     35.48     2.06                             mix32 (hashtable.h:153 @ 608f)
  3.18     37.40     1.92                             rs_signature_find_match (sumset.c:257 @ 485b)
  3.00     39.21     1.81                             mix32 (hashtable.h:151 @ 6082)
  2.21     40.54     1.33                             rs_delta_s_scan (delta.c:133 @ 60a4)
  1.97     41.73     1.19                             hashtable_find (hashtable.h:293 @ 47b2)
  1.97     42.92     1.19                             hashtable_find (hashtable.h:294 @ 47b8)
  1.96     44.10     1.18                             hashtable_find (hashtable.h:292 @ 473b)
  1.34     44.90     0.81                             rs_signature_find_match (sumset.c:256 @ 4874)
  1.18     45.61     0.71                             RollsumDigest (rollsum.h:71 @ 606b)
  1.14     46.30     0.69                             RollsumUpdate (rollsum.c:39 @ 7e2d)
  1.12     46.97     0.68                             rs_findmatch (delta.c:244 @ 5f70)
  1.03     47.59     0.62                             weaksum_digest (checksum.h:116 @ 6063)
  1.00     48.19     0.60                             RollsumRotate (rollsum.h:52 @ 5fca)
  0.96     48.77     0.58                             rs_delta_s_scan (delta.c:142 @ 5f85)
  0.76     49.23     0.46                             rs_appendmiss (delta.c:287 @ 5fd5)
  0.75     49.68     0.45                             weaksum_rotate (checksum.h:92 @ 5f93)
  0.74     50.13     0.45                             mix32 (hashtable.h:150 @ 607c)
  0.73     50.57     0.44                             mix32 (hashtable.h:152 @ 6089)
  0.68     50.98     0.41                             rs_delta_s_scan (delta.c:142 @ 5f96)
  0.66     51.38     0.40                             weaksum_rotate (checksum.h:92 @ 5fa4)
  0.56     51.72     0.34                             rs_block_match_init (sumset.c:60 @ 474b)
  0.52     52.03     0.32                             hashtable_find (hashtable.h:291 @ 4756)
  0.48     52.32     0.29                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.43     52.58     0.26                             rs_delta_s_scan (delta.c:133 @ 60b6)
  0.42     52.84     0.26                             rs_appendmiss (delta.c:287 @ 5fb1)
  0.40     53.08     0.24                             rs_signature_find_match (sumset.c:247 @ 4746)
  0.38     53.31     0.23                             rs_findmatch (delta.c:228 @ 5edd)
  0.36     53.53     0.22                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  0.36     53.75     0.22                             rs_delta_s_scan (delta.c:142 @ 5f9f)
  0.36     53.96     0.22                             rs_delta_s_scan (delta.c:133 @ 5eb8)
  0.35     54.17     0.21                             rs_block_match_init (sumset.c:61 @ 474f)
  0.35     54.38     0.21                             rs_block_sig_init (sumset.c:35 @ 4753)
  0.31     54.57     0.19                             mix32 (hashtable.h:149 @ 6077)
  0.30     54.75     0.18                             RollsumRotate (rollsum.h:51 @ 5fac)
  0.30     54.93     0.18                             rs_findmatch (delta.c:228 @ 5ee5)
  0.29     55.10     0.18                             rabinkarp_update (rabinkarp.h:86 @ 5f6c)
  0.29     55.28     0.18                             rs_findmatch (delta.c:225 @ 5ee1)
  0.28     55.45     0.17                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  0.28     55.62     0.17                             rs_appendmiss (delta.c:291 @ 60a0)
  0.25     55.77     0.15                             weaksum_digest (checksum.h:118 @ 6096)
  0.23     55.91     0.14                             rs_delta_s_scan (delta.c:135 @ 5f7b)
  0.20     56.03     0.12                             rs_findmatch (delta.c:245 @ 605c)
  0.18     56.14     0.11                             weaksum_update (checksum.h:84 @ 6040)
  0.17     56.24     0.11                             RollsumRotate (rollsum.h:52 @ 5fae)
  0.17     56.34     0.10                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  0.15     56.43     0.09                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  0.12     56.50     0.07                             rs_delta_s_scan (delta.c:141 @ 5f9a)
  0.10     56.56     0.06                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.08     56.61     0.05  5666593     8.82     8.82  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  0.08     56.66     0.05                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  0.07     56.70     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8500)
  0.07     56.74     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8fec)
  0.07     56.78     0.04                             blake2b_compress (blake2b-ref.c:205 @ 9075)
  0.07     56.82     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9413)
  0.06     56.86     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8e33)
  0.06     56.89     0.04                             blake2b_compress (blake2b-ref.c:206 @ 911b)
  0.06     56.93     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8bf7)
  0.05     56.96     0.03                             RollsumUpdate (rollsum.c:39 @ 7e20)
  0.05     56.99     0.03                             blake2b_compress (blake2b-ref.c:202 @ 89ff)
  0.05     57.02     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
  0.05     57.05     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9377)
  0.05     57.08     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.05     57.11     0.03                             blake2b_compress (blake2b-ref.c:201 @ 87b1)
  0.04     57.13     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8d5b)
  0.04     57.16     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e77)
  0.04     57.18     0.03                             blake2b_compress (blake2b-ref.c:206 @ 91f3)
  0.04     57.21     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a43)
  0.04     57.23     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c6a)
  0.04     57.26     0.03                             rotr64 (blake2-impl.h:155 @ 8a52)
  0.03     57.28     0.02                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  0.03     57.30     0.02                             blake2b_compress (blake2b-ref.c:200 @ 85da)
