Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 59.94     75.05    75.05                             hashtable_find (hashtable.h:292 @ 475c)
  3.67     79.65     4.60                             rs_signature_find_match (sumset.c:253 @ 4737)
  2.91     83.30     3.65 537395200     6.78     6.78  rs_signature_find_match (sumset.c:247 @ 4720)
  2.41     86.32     3.02                             RollsumRotate (rollsum.h:51 @ 5fc0)
  2.35     89.26     2.94                             rs_signature_find_match (sumset.c:257 @ 487b)
  1.98     91.73     2.48                             RollsumRotate (rollsum.h:52 @ 5fb8)
  1.81     93.99     2.26                             mix32 (hashtable.h:153 @ 608f)
  1.66     96.07     2.08                             mix32 (hashtable.h:151 @ 6082)
  1.62     98.10     2.03                             rs_signature_find_match (sumset.c:257 @ 485b)
  0.94     99.28     1.18                             rs_delta_s_scan (delta.c:142 @ 5f96)
  0.86    100.35     1.08                             rs_signature_find_match (sumset.c:256 @ 4874)
  0.78    101.34     0.98                             hashtable_find (hashtable.h:292 @ 473b)
  0.77    102.30     0.97                             hashtable_find (hashtable.h:293 @ 47b2)
  0.77    103.27     0.97                             hashtable_find (hashtable.h:294 @ 47b8)
  0.71    104.15     0.89                             RollsumRotate (rollsum.h:52 @ 5fca)
  0.69    105.02     0.87                             RollsumDigest (rollsum.h:71 @ 606b)
  0.68    105.88     0.86                             rs_delta_s_scan (delta.c:133 @ 60a4)
  0.51    106.51     0.64                             RollsumUpdate (rollsum.c:39 @ 7e2d)
  0.44    107.07     0.56                             rs_appendmiss (delta.c:287 @ 5fd5)
  0.44    107.62     0.55                             mix32 (hashtable.h:150 @ 607c)
  0.38    108.10     0.48                             hashtable_find (hashtable.h:291 @ 4756)
  0.38    108.58     0.48                             weaksum_digest (checksum.h:116 @ 6063)
  0.38    109.05     0.47                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  0.32    109.45     0.41                             rs_findmatch (delta.c:225 @ 5ee1)
  0.32    109.85     0.40                             rs_findmatch (delta.c:228 @ 5ee5)
  0.30    110.23     0.38                             rs_signature_find_match (sumset.c:247 @ 4746)
  0.28    110.58     0.35                             rs_findmatch (delta.c:244 @ 5f70)
  0.28    110.92     0.35                             weaksum_rotate (checksum.h:92 @ 5fa4)
  0.26    111.24     0.32                             rs_delta_s_scan (delta.c:142 @ 5f85)
  0.23    111.53     0.29                             mix32 (hashtable.h:152 @ 6089)
  0.22    111.81     0.28                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  0.21    112.07     0.26                             rs_appendmiss (delta.c:287 @ 5fb1)
  0.20    112.33     0.26                             rs_appendmiss (delta.c:291 @ 60a0)
  0.20    112.58     0.25                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  0.18    112.81     0.23                             weaksum_digest (checksum.h:118 @ 6096)
  0.18    113.03     0.22                             hashtable_find (hashtable.h:296 @ 47cb)
  0.16    113.23     0.21                             rs_delta_s_scan (delta.c:142 @ 5f9f)
  0.16    113.44     0.21                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.16    113.64     0.20                             rs_block_match_init (sumset.c:60 @ 474b)
  0.15    113.83     0.19                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  0.15    114.02     0.19                             rs_block_match_init (sumset.c:61 @ 474f)
  0.12    114.16     0.15                             rs_findmatch (delta.c:228 @ 5edd)
  0.12    114.31     0.15                             rs_findmatch (delta.c:245 @ 605c)
  0.11    114.45     0.14 13908978    10.07    10.07  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  0.11    114.59     0.14                             RollsumRotate (rollsum.h:51 @ 5fac)
  0.11    114.73     0.14                             rs_delta_s_scan (delta.c:135 @ 5f7b)
  0.10    114.86     0.13                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  0.10    114.99     0.13                             hashtable_find (hashtable.h:292 @ 49e5)
  0.10    115.12     0.13                             mix32 (hashtable.h:149 @ 6077)
  0.10    115.25     0.13                             rs_delta_s_scan (delta.c:133 @ 5eb8)
  0.10    115.38     0.13                             rs_delta_s_scan (delta.c:133 @ 60b6)
  0.09    115.49     0.12                             weaksum_update (checksum.h:84 @ 6040)
  0.08    115.60     0.11                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  0.07    115.69     0.09                             blake2b_init0 (blake2b-ref.c:75 @ 9e1f)
  0.07    115.78     0.09                             rs_block_sig_init (sumset.c:35 @ 4753)
  0.07    115.87     0.09                             weaksum_rotate (checksum.h:92 @ 5f93)
  0.06    115.95     0.08                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.06    116.03     0.08                             rs_scoop_input (scoop.c:104 @ 8032)
  0.06    116.10     0.08                             blake2b_compress (blake2b-ref.c:187 @ 8500)
  0.06    116.18     0.08                             rabinkarp_update (rabinkarp.h:86 @ 5f6c)
  0.06    116.25     0.07  2097925    33.37    33.37  rs_scoop_read (scoop.c:193 @ 81a0)
  0.06    116.32     0.07                             blake2b_compress (blake2b-ref.c:206 @ 90e8)
  0.06    116.39     0.07                             blake2b_compress (blake2b-ref.c:206 @ 91f3)
  0.05    116.45     0.07                             blake2b_compress (blake2b-ref.c:204 @ 8e33)
  0.05    116.51     0.06                             blake2b_compress (blake2b-ref.c:202 @ 8968)
  0.05    116.57     0.06                             blake2b_compress (blake2b-ref.c:204 @ 8eca)
  0.05    116.63     0.06                             blake2b_compress (blake2b-ref.c:207 @ 93e4)
  0.05    116.69     0.06                             blake2b_compress (blake2b-ref.c:208 @ 94a8)
  0.05    116.75     0.06                             blake2b_compress (blake2b-ref.c:210 @ 98f1)
  0.05    116.81     0.06                             blake2b_compress (blake2b-ref.c:216 @ 9ca6)
  0.05    116.87     0.06                             rs_build_hash_table (sumset.c:286 @ 4abb)
  0.05    116.93     0.06                             rs_delta_s_scan (delta.c:141 @ 5f9a)
  0.04    116.99     0.06                             RollsumRotate (rollsum.h:52 @ 5fae)
  0.04    117.04     0.05  4834062    10.34    10.34  rs_tube_catchup (tube.c:137 @ 8250)
  0.04    117.09     0.05                             rotr64 (blake2-impl.h:155 @ 9527)
  0.04    117.14     0.05                             blake2b_compress (blake2b-ref.c:205 @ 9022)
  0.04    117.19     0.05                             blake2b_compress (blake2b-ref.c:213 @ 9c82)
  0.04    117.24     0.05                             rotr64 (blake2-impl.h:155 @ 96fd)
  0.04    117.29     0.05                             rs_appendmiss (delta.c:291 @ 60af)
  0.04    117.33     0.05                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.04    117.38     0.05                             blake2b_compress (blake2b-ref.c:208 @ 94db)
  0.04    117.42     0.05                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.03    117.46     0.04                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.03    117.50     0.04                             blake2b_compress (blake2b-ref.c:201 @ 8857)
  0.03    117.54     0.04                             blake2b_compress (blake2b-ref.c:201 @ 88c9)
  0.03    117.58     0.04                             blake2b_compress (blake2b-ref.c:201 @ 88f5)
  0.03    117.62     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8b84)
  0.03    117.66     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8d28)
  0.03    117.70     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8f44)
  0.03    117.74     0.04                             blake2b_compress (blake2b-ref.c:205 @ 903c)
  0.03    117.78     0.04                             blake2b_compress (blake2b-ref.c:205 @ 9049)
  0.03    117.82     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.03    117.86     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9304)
  0.03    117.90     0.04                             blake2b_compress (blake2b-ref.c:209 @ 96c4)
  0.03    117.94     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9c10)
  0.03    117.98     0.04                             hashtable_add (hashtable.h:272 @ 4b62)
  0.03    118.02     0.04                             rs_loadsig_s_stronglen (readsums.c:104 @ 7d11)
  0.03    118.06     0.04                             rs_signature_add_block (sumset.c:243 @ 46be)
  0.03    118.10     0.04                             rs_tube_catchup (tube.c:157 @ 8284)
  0.03    118.14     0.04                             blake2b_compress (blake2b-ref.c:202 @ 89ff)
  0.03    118.17     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8ab7)
  0.03    118.21     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8bf7)
  0.03    118.24     0.04                             blake2b_compress (blake2b-ref.c:206 @ 91b2)
  0.03    118.28     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9413)
  0.03    118.31     0.04                             blake2b_init0 (blake2b-ref.c:77 @ 9e45)
  0.03    118.35     0.04                             rotr64 (blake2-impl.h:155 @ 9632)
  0.03    118.38     0.04                             secure_zero_memory (blake2-impl.h:162 @ a156)
  0.03    118.42     0.04                             blake2b_compress (blake2b-ref.c:200 @ 872a)
  0.03    118.45     0.04                             blake2b_compress (blake2b-ref.c:200 @ 876b)
  0.03    118.49     0.04                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
