Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 35.16     32.81    32.81                             hashtable_find (hashtable.h:325 @ 478b)
 24.42     55.59    22.78                             hashtable_getbloom (hashtable.h:161 @ 4772)
  4.64     59.92     4.33 537395200     8.05     8.05  rs_signature_find_match (sumset.c:247 @ 4720)
  3.45     63.14     3.22                             rabinkarp_rotate (rabinkarp.h:72 @ 6061)
  3.18     66.11     2.97                             rs_signature_find_match (sumset.c:257 @ 485b)
  2.42     68.37     2.26                             rs_signature_find_match (sumset.c:253 @ 473c)
  2.22     70.44     2.07                             nozero (hashtable.h:179 @ 4737)
  1.52     71.86     1.42                             rabinkarp_update (rabinkarp.c:93 @ 7f58)
  1.47     73.23     1.37                             hashtable_find (hashtable.h:336 @ 4848)
  1.20     74.35     1.12                             rs_delta_s_scan (delta.c:133 @ 600c)
  1.01     75.29     0.94                             hashtable_find (hashtable.h:326 @ 47cd)
  0.90     76.13     0.84                             rs_appendmiss (delta.c:287 @ 605a)
  0.70     76.78     0.66                             rabinkarp_rotate (rabinkarp.h:72 @ 6050)
  0.65     77.39     0.61                             rs_delta_s_scan (delta.c:142 @ 5ef0)
  0.65     78.00     0.61                             rs_findmatch (delta.c:244 @ 5edb)
  0.63     78.59     0.59                             rs_signature_find_match (sumset.c:256 @ 4854)
  0.61     79.16     0.57                             rs_delta_s_scan (delta.c:133 @ 5f8e)
  0.61     79.72     0.57                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.56     80.24     0.52                             rs_block_match_init (sumset.c:59 @ 4753)
  0.56     80.76     0.52                             rs_delta_s_scan (delta.c:142 @ 5f09)
  0.55     81.28     0.52                             rs_signature_find_match (sumset.c:257 @ 4850)
  0.51     81.76     0.48                             rs_delta_s_scan (delta.c:142 @ 5f01)
  0.47     82.20     0.44                             rs_block_sig_init (sumset.c:35 @ 476f)
  0.46     82.62     0.43                             nozero (hashtable.h:179 @ 474d)
  0.41     83.00     0.38                             mix32 (hashtable.h:172 @ 5ed4)
  0.39     83.37     0.37                             weaksum_digest (checksum.h:120 @ 5ffd)
  0.34     83.69     0.32                             hashtable_find (hashtable.h:320 @ 4761)
  0.34     84.00     0.32                             weaksum_digest (checksum.h:116 @ 5ff5)
  0.31     84.29     0.29                             hashtable_find (hashtable.h:322 @ 4782)
  0.31     84.58     0.29                             hashtable_getbloom (hashtable.h:161 @ 4749)
  0.31     84.86     0.29                             rs_delta_s_scan (delta.c:158 @ 6037)
  0.30     85.14     0.28                             rs_block_match_init (sumset.c:61 @ 475a)
  0.30     85.42     0.28                             rs_appendmiss (delta.c:287 @ 5f3f)
  0.29     85.70     0.28                             rs_delta_s_scan (delta.c:141 @ 5f05)
  0.25     85.93     0.24                             weaksum_rotate (checksum.h:92 @ 5efe)
  0.24     86.15     0.22                             hashtable_getbloom (hashtable.h:160 @ 4751)
  0.23     86.36     0.21                             blake2b_compress (blake2b-ref.c:214 @ 9dcc)
  0.23     86.57     0.21                             hashtable_getbloom (hashtable.h:160 @ 4766)
  0.23     86.78     0.21                             weaksum_update (checksum.h:84 @ 5fdb)
  0.20     86.97     0.19                             nozero (hashtable.h:179 @ 4740)
  0.19     87.15     0.18                             hashtable_find (hashtable.h:329 @ 47e3)
  0.19     87.33     0.18                             rs_delta_s_scan (delta.c:133 @ 601e)
  0.19     87.51     0.18                             rs_findmatch (delta.c:225 @ 5fb3)
  0.15     87.65     0.14                             blake2b_compress (blake2b-ref.c:184 @ 8610)
  0.15     87.79     0.14                             hashtable_find (hashtable.h:329 @ 4837)
  0.13     87.91     0.12                             blake2b_compress (blake2b-ref.c:183 @ 8618)
  0.12     88.02     0.11                             hashtable_add (hashtable.h:298 @ 4b4b)
  0.11     88.12     0.10                             blake2b_compress (blake2b-ref.c:178 @ 85fc)
  0.11     88.22     0.10                             rs_delta_s_scan (delta.c:135 @ 5ee6)
  0.10     88.31     0.09                             blake2b_compress (blake2b-ref.c:200 @ 864a)
  0.09     88.39     0.08                             rs_block_match_init (sumset.c:60 @ 4745)
  0.08     88.46     0.07                             hashtable_getbloom (hashtable.h:161 @ 4a20)
  0.08     88.53     0.07                             rs_appendmiss (delta.c:291 @ 6008)
  0.08     88.60     0.07                             rs_findmatch (delta.c:245 @ 5fee)
  0.06     88.66     0.06                             blake2b_compress (blake2b-ref.c:208 @ 9737)
  0.05     88.71     0.05                             blake2b_compress (blake2b-ref.c:187 @ 8629)
  0.05     88.76     0.05                             blake2b_compress (blake2b-ref.c:187 @ 8640)
  0.05     88.81     0.05                             blake2b_compress (blake2b-ref.c:200 @ 8831)
  0.05     88.86     0.05                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.05     88.91     0.05                             rs_build_hash_table (sumset.c:286 @ 4b98)
  0.04     88.95     0.04                             blake2b_compress (blake2b-ref.c:206 @ 92b1)
  0.04     88.99     0.04                             blake2b_compress (blake2b-ref.c:210 @ 99a8)
  0.04     89.03     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9c31)
  0.04     89.07     0.04                             hashtable_add (hashtable.h:301 @ 4b8f)
  0.04     89.11     0.04                             hashtable_find (hashtable.h:325 @ 4a36)
  0.04     89.15     0.04                             rs_block_sig_idx (sumset.c:114 @ 489f)
  0.04     89.18     0.04                             hashtable_find (hashtable.h:327 @ 47d5)
  0.04     89.22     0.04                             blake2b_compress (blake2b-ref.c:207 @ 959d)
  0.04     89.25     0.04                             rotr64 (blake2-impl.h:155 @ 8ee7)
  0.03     89.28     0.03  5894604     5.09     5.09  blake2b_compress (blake2b-ref.c:178 @ 85e0)
  0.03     89.31     0.03                             blake2b_compress (blake2b-ref.c:183 @ 85fa)
  0.03     89.34     0.03                             blake2b_compress (blake2b-ref.c:188 @ 8638)
  0.03     89.37     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8b19)
  0.03     89.40     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8da4)
  0.03     89.43     0.03                             blake2b_compress (blake2b-ref.c:205 @ 91a0)
  0.03     89.46     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9bd5)
  0.03     89.49     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9d50)
  0.03     89.52     0.03                             hashtable_add (hashtable.h:300 @ 4b8b)
  0.03     89.55     0.03                             rabinkarp_update (rabinkarp.c:92 @ 8043)
  0.03     89.58     0.03                             rabinkarp_update (rabinkarp.c:92 @ 80b0)
  0.03     89.61     0.03                             rs_findmatch (delta.c:228 @ 5faf)
  0.03     89.64     0.03                             rs_scoop_input (scoop.c:104 @ 8172)
  0.03     89.67     0.03                             rs_scoop_input (scoop.c:107 @ 8180)
  0.03     89.70     0.03                             rs_scoop_total_avail (scoop.c:230 @ 838a)
  0.03     89.73     0.03                             rs_tube_write (tube.c:199 @ 85ce)
  0.03     89.76     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8bb3)
  0.03     89.78     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8bf7)
  0.03     89.81     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8fb7)
  0.03     89.83     0.03                             blake2b_compress (blake2b-ref.c:206 @ 925b)
  0.03     89.86     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9863)
  0.03     89.88     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9ab3)
  0.03     89.91     0.03                             rs_loadsig_s_strong (readsums.c:77 @ 7cdf)
  0.02     89.93     0.02  2097925     9.53     9.53  rs_scoop_readahead (scoop.c:149 @ 8240)
  0.02     89.95     0.02  1147652    17.43    17.43  rs_infilebuf_fill (buf.c:78 @ 5630)
  0.02     89.97     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8710)
  0.02     89.99     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8724)
  0.02     90.01     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88fb)
  0.02     90.03     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8904)
  0.02     90.05     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d57)
  0.02     90.07     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9056)
  0.02     90.09     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9084)
  0.02     90.11     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9228)
  0.02     90.13     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9431)
  0.02     90.15     0.02                             blake2b_compress (blake2b-ref.c:207 @ 943b)
  0.02     90.17     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9524)
  0.02     90.19     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9639)
  0.02     90.21     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9678)
  0.02     90.23     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96c6)
  0.02     90.25     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99f9)
  0.02     90.27     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a31)
  0.02     90.29     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9af7)
  0.02     90.31     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ba7)
  0.02     90.33     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ca7)
  0.02     90.35     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9f5f)
  0.02     90.37     0.02                             blake2b_init_param (blake2b-ref.c:89 @ 9fea)
