Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 66.12     74.13    74.13                             hashtable_find (hashtable.h:292 @ 475c)
  3.75     78.33     4.20 537395200     7.82     7.82  rs_signature_find_match (sumset.c:247 @ 4720)
  3.51     82.26     3.93                             rs_signature_find_match (sumset.c:253 @ 4737)
  2.74     85.33     3.07                             rs_signature_find_match (sumset.c:257 @ 487b)
  2.32     87.93     2.60                             rabinkarp_rotate (rabinkarp.h:72 @ 5fd1)
  1.79     89.94     2.01                             rs_signature_find_match (sumset.c:257 @ 485b)
  1.37     91.48     1.54                             hashtable_find (hashtable.h:292 @ 473b)
  1.24     92.87     1.39                             rabinkarp_update (rabinkarp.c:93 @ 7e88)
  0.95     93.94     1.07                             rs_signature_find_match (sumset.c:256 @ 4874)
  0.87     94.92     0.98                             rs_delta_s_scan (delta.c:133 @ 5f7c)
  0.84     95.86     0.95                             hashtable_find (hashtable.h:293 @ 47b2)
  0.84     96.81     0.95                             hashtable_find (hashtable.h:294 @ 47b8)
  0.76     97.66     0.86                             rs_appendmiss (delta.c:287 @ 5fca)
  0.70     98.44     0.78                             rs_delta_s_scan (delta.c:142 @ 5e79)
  0.64     99.16     0.72                             rs_findmatch (delta.c:225 @ 5f23)
  0.62     99.85     0.69                             rs_appendmiss (delta.c:287 @ 5eaf)
  0.61    100.53     0.68                             mix32 (hashtable.h:153 @ 5e44)
  0.57    101.17     0.64                             rs_delta_s_scan (delta.c:142 @ 5e60)
  0.50    101.73     0.56                             rs_delta_s_scan (delta.c:142 @ 5e71)
  0.45    102.24     0.51                             rs_delta_s_scan (delta.c:141 @ 5e75)
  0.40    102.69     0.45                             rs_findmatch (delta.c:244 @ 5e4b)
  0.32    103.05     0.36                             rs_block_match_init (sumset.c:60 @ 474b)
  0.31    103.40     0.35                             weaksum_update (checksum.h:84 @ 5f4b)
  0.29    103.73     0.33                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.27    104.03     0.30                             rs_block_sig_init (sumset.c:35 @ 4753)
  0.25    104.31     0.28                             rs_delta_s_scan (delta.c:133 @ 5f8e)
  0.25    104.58     0.28                             weaksum_digest (checksum.h:120 @ 5f6d)
  0.23    104.84     0.26                             rabinkarp_rotate (rabinkarp.h:72 @ 5fc0)
  0.19    105.06     0.22                             rs_delta_s_scan (delta.c:135 @ 5e56)
  0.19    105.27     0.21                             rs_block_match_init (sumset.c:61 @ 474f)
  0.17    105.46     0.20                             weaksum_digest (checksum.h:116 @ 5f65)
  0.17    105.65     0.19                             rs_signature_find_match (sumset.c:247 @ 4746)
