Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 66.38     73.93    73.93                             hashtable_find (hashtable.h:292 @ 475c)
  3.81     78.17     4.24                             rs_signature_find_match (sumset.c:253 @ 4737)
  3.22     81.76     3.59 537395200     6.67     6.67  rs_signature_find_match (sumset.c:247 @ 4720)
  2.34     84.37     2.61                             rs_signature_find_match (sumset.c:257 @ 487b)
  1.98     86.58     2.21                             rabinkarp_update (rabinkarp.h:83 @ 5f20)
  1.74     88.51     1.94                             rs_signature_find_match (sumset.c:257 @ 485b)
  1.43     90.11     1.60                             rabinkarp_rotate (rabinkarp.h:93 @ 60fc)
  1.21     91.46     1.35                             hashtable_find (hashtable.h:292 @ 473b)
  1.21     92.81     1.35                             rs_delta_s_scan (delta.c:133 @ 60a4)
  1.05     93.98     1.17                             rs_delta_s_scan (delta.c:142 @ 5f96)
  0.94     95.02     1.05                             rs_signature_find_match (sumset.c:256 @ 4874)
  0.92     96.04     1.02                             hashtable_find (hashtable.h:293 @ 47b2)
  0.92     97.06     1.02                             hashtable_find (hashtable.h:294 @ 47b8)
  0.87     98.03     0.97                             rs_appendmiss (delta.c:287 @ 5fd5)
  0.84     98.97     0.94                             rabinkarp_rotate (rabinkarp.h:93 @ 60e8)
  0.75     99.80     0.83                             rs_appendmiss (delta.c:287 @ 60f5)
  0.51    100.37     0.57                             rs_block_match_init (sumset.c:61 @ 474f)
  0.44    100.87     0.49                             rs_findmatch (delta.c:244 @ 5f70)
  0.42    101.33     0.47                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.31    101.68     0.35                             rs_findmatch (delta.c:225 @ 5ee1)
  0.31    102.02     0.34                             rs_block_match_init (sumset.c:60 @ 474b)
  0.31    102.36     0.34                             rs_findmatch (delta.c:228 @ 5ee5)
  0.30    102.69     0.34                             rs_delta_s_scan (delta.c:142 @ 5f85)
  0.29    103.02     0.33                             rs_delta_s_scan (delta.c:142 @ 5f9f)
  0.29    103.34     0.33                             weaksum_rotate (checksum.h:92 @ 5fa4)
  0.26    103.63     0.29                             rs_block_sig_init (sumset.c:35 @ 4753)
  0.22    103.88     0.25                             rs_findmatch (delta.c:245 @ 605c)
  0.22    104.12     0.24                             weaksum_update (checksum.h:84 @ 6040)
  0.19    104.33     0.21                             rabinkarp_update (rabinkarp.h:86 @ 5f6c)
  0.16    104.51     0.18                             hashtable_find (hashtable.h:291 @ 4756)
  0.15    104.68     0.17                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  0.15    104.85     0.17                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  0.15    105.02     0.17                             hashtable_find (hashtable.h:292 @ 49e5)
  0.13    105.16     0.14                             RollsumInit (rollsum.h:46 @ 6206)
  0.13    105.30     0.14                             rabinkarp_update (rabinkarp.h:82 @ 5f07)
  0.13    105.44     0.14                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  0.13    105.58     0.14                             rs_delta_s_scan (delta.c:133 @ 60b6)
  0.12    105.71     0.13                             weaksum_digest (checksum.h:116 @ 6063)
  0.10    105.83     0.12                             rs_delta_s_scan (delta.c:158 @ 60d7)
  0.10    105.94     0.11                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  0.10    106.05     0.11                             weaksum_rotate (checksum.h:92 @ 5f93)
  0.09    106.15     0.10                             hashtable_find (hashtable.h:296 @ 47cb)
  0.07    106.23     0.08                             rs_scoop_input (scoop.c:104 @ 8032)
  0.06    106.30     0.07                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  0.06    106.37     0.07                             rs_delta_s_scan (delta.c:141 @ 5f9a)
  0.06    106.44     0.07                             rs_signature_find_match (sumset.c:247 @ 4746)
  0.06    106.50     0.07                             rs_findmatch (delta.c:228 @ 5edd)
  0.06    106.57     0.07                             rs_delta_s_scan (delta.c:135 @ 5f7b)
  0.05    106.63     0.06                             blake2b_compress (blake2b-ref.c:201 @ 87c4)
  0.04    106.68     0.05                             rs_appendmiss (delta.c:291 @ 60a0)
  0.04    106.73     0.05                             rs_build_hash_table (sumset.c:286 @ 4abb)
  0.04    106.78     0.05                             rs_signature_find_match (sumset.c:254 @ 4855)
  0.04    106.82     0.05  4834062     9.31     9.31  rs_tube_catchup (tube.c:137 @ 8250)
  0.04    106.87     0.05                             blake2b_compress (blake2b-ref.c:187 @ 8500)
  0.04    106.91     0.05                             rs_delta_s_scan (delta.c:133 @ 5eb8)
  0.04    106.96     0.05                             rs_tube_catchup (tube.c:144 @ 8276)
  0.04    107.00     0.04  2097925    19.07    19.07  rs_scoop_read (scoop.c:193 @ 81a0)
  0.04    107.04     0.04                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.04    107.08     0.04                             blake2b_compress (blake2b-ref.c:200 @ 873c)
  0.04    107.12     0.04                             blake2b_compress (blake2b-ref.c:202 @ 89d9)
  0.04    107.16     0.04                             blake2b_compress (blake2b-ref.c:210 @ 98cd)
  0.04    107.20     0.04                             rs_appendmiss (delta.c:291 @ 60af)
  0.04    107.24     0.04                             rs_block_sig_idx (sumset.c:114 @ 4852)
  0.04    107.28     0.04                             rs_suck_netint (netint.c:104 @ 761c)
  0.04    107.32     0.04                             weaksum_digest (checksum.h:118 @ 6096)
  0.03    107.35     0.04                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  0.03    107.39     0.04                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.03    107.42     0.03  5894604     5.09     5.09  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  0.03    107.45     0.03                             blake2b_compress (blake2b-ref.c:202 @ 89ff)
  0.03    107.48     0.03                             blake2b_compress (blake2b-ref.c:207 @ 93e4)
  0.03    107.51     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9b67)
  0.03    107.54     0.03                             rs_delta_s_scan (delta.c:121 @ 5e77)
  0.03    107.57     0.03                             rs_infilebuf_fill (buf.c:126 @ 55d1)
  0.03    107.60     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8968)
  0.03    107.63     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9a67)
  0.03    107.66     0.03                             blake2b_init_key (blake2b-ref.c:124 @ a058)
  0.03    107.69     0.03                             hashtable_add (hashtable.h:273 @ 4b57)
  0.03    107.72     0.03                             hashtable_add (hashtable.h:273 @ 4b67)
  0.03    107.75     0.03                             rotr64 (blake2-impl.h:155 @ 9527)
  0.03    107.78     0.03                             rotr64 (blake2-impl.h:155 @ 98e0)
  0.03    107.81     0.03                             rs_tube_catchup (tube.c:138 @ 8267)
  0.02    107.83     0.03                             blake2b_compress (blake2b-ref.c:208 @ 94db)
  0.02    107.86     0.03                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.02    107.88     0.03  1049088    23.83    23.83  rs_scoop_input (scoop.c:68 @ 7f80)
  0.02    107.91     0.03  1048834    23.84    23.84  rs_loadsig_s_weak (readsums.c:57 @ 7bc0)
  0.02    107.93     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9c82)
  0.02    107.96     0.03                             rotr64 (blake2-impl.h:155 @ 8a2a)
  0.02    107.98     0.03                             rs_infilebuf_fill (buf.c:104 @ 5619)
  0.02    108.01     0.03                             rs_job_drive (job.c:166 @ 6997)
  0.02    108.03     0.03                             rs_tube_catchup (tube.c:137 @ 826e)
  0.02    108.05     0.02  1147652    17.43    17.43  rs_infilebuf_fill (buf.c:78 @ 55a0)
  0.02    108.07     0.02  1048577    19.08    19.08  rs_delta_s_scan (delta.c:120 @ 5e60)
