Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 21.09      9.50     9.50                             hashtable_find (hashtable.h:330 @ 4781)
  8.39     13.28     3.78 536887296     7.04     7.04  rs_signature_find_match (sumset.c:247 @ 4720)
  6.23     16.09     2.81                             rabinkarp_rotate (rabinkarp.h:72 @ 6051)
  6.19     18.88     2.79                             rs_signature_find_match (sumset.c:257 @ 485b)
  5.26     21.25     2.37                             rs_signature_find_match (sumset.c:253 @ 473c)
  4.90     23.45     2.21                             nozero (hashtable.h:185 @ 4737)
  3.12     24.86     1.41                             hashtable_getbloom (hashtable.h:167 @ 476c)
  2.99     26.20     1.35                             rabinkarp_update (rabinkarp.c:93 @ 7f68)
  2.74     27.44     1.24                             hashtable_find (hashtable.h:341 @ 4848)
  2.69     28.65     1.21                             rs_delta_s_scan (delta.c:133 @ 5ffc)
  2.36     29.71     1.07                             hashtable_find (hashtable.h:327 @ 4778)
  1.72     30.49     0.78                             rs_appendmiss (delta.c:287 @ 604a)
  1.50     31.16     0.68                             hashtable_find (hashtable.h:331 @ 47cd)
  1.41     31.80     0.64                             rs_signature_find_match (sumset.c:256 @ 4854)
  1.29     32.38     0.58                             rs_findmatch (delta.c:244 @ 5ecb)
  1.25     32.94     0.57                             rs_signature_find_match (sumset.c:257 @ 4850)
  1.19     33.48     0.54                             rs_delta_s_scan (delta.c:142 @ 5ee0)
  1.19     34.02     0.54                             rs_delta_s_scan (delta.c:142 @ 5ef1)
  1.07     34.50     0.48                             rs_delta_s_scan (delta.c:142 @ 5ef9)
  0.92     34.91     0.42                             nozero (hashtable.h:185 @ 474c)
  0.92     35.33     0.42                             rs_block_match_init (sumset.c:60 @ 4750)
  0.91     35.74     0.41                             rs_delta_s_scan (delta.c:141 @ 5ef5)
  0.87     36.13     0.39                             rs_appendmiss (delta.c:287 @ 5f2f)
  0.78     36.48     0.35                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.77     36.82     0.35                             rabinkarp_rotate (rabinkarp.h:72 @ 6040)
  0.74     37.16     0.34                             hashtable_getbloom (hashtable.h:166 @ 4749)
  0.71     37.48     0.32                             rs_findmatch (delta.c:225 @ 5fa3)
  0.69     37.79     0.31                             weaksum_update (checksum.h:84 @ 5fcb)
  0.67     38.09     0.30                             mix32 (hashtable.h:178 @ 5ec4)
  0.64     38.38     0.29                             hashtable_getbloom (hashtable.h:167 @ 4765)
  0.64     38.67     0.29                             rs_block_sig_init (sumset.c:35 @ 4769)
  0.64     38.96     0.29                             rs_delta_s_scan (delta.c:133 @ 5f7e)
  0.63     39.24     0.29                             weaksum_digest (checksum.h:116 @ 5fe5)
  0.62     39.52     0.28                             hashtable_getbloom (hashtable.h:166 @ 475b)
  0.56     39.77     0.25                             weaksum_digest (checksum.h:120 @ 5fed)
  0.51     40.00     0.23                             rs_delta_s_scan (delta.c:133 @ 600e)
  0.40     40.18     0.18                             blake2b_compress (blake2b-ref.c:184 @ 8620)
  0.40     40.36     0.18                             blake2b_compress (blake2b-ref.c:214 @ 9ddc)
  0.39     40.54     0.18                             weaksum_rotate (checksum.h:92 @ 5eee)
  0.38     40.71     0.17                             rs_block_match_init (sumset.c:61 @ 4745)
  0.37     40.87     0.17                             nozero (hashtable.h:185 @ 4740)
  0.37     41.04     0.17                             rs_signature_find_match (sumset.c:247 @ 4754)
  0.36     41.20     0.16                             rs_findmatch (delta.c:245 @ 5fde)
  0.34     41.35     0.16                             hashtable_getbloom (hashtable.h:166 @ 4763)
  0.30     41.49     0.14                             rs_delta_s_scan (delta.c:158 @ 6027)
  0.28     41.61     0.13                             rs_delta_s_scan (delta.c:135 @ 5ed6)
  0.26     41.73     0.12                             rs_appendmiss (delta.c:291 @ 5ff8)
  0.22     41.83     0.10                             blake2b_compress (blake2b-ref.c:183 @ 8628)
  0.20     41.92     0.09                             blake2b_compress (blake2b-ref.c:188 @ 8648)
  0.18     42.00     0.08                             hashtable_find (hashtable.h:332 @ 47d5)
  0.16     42.07     0.07  5245884    13.35    13.35  blake2b_compress (blake2b-ref.c:178 @ 85f0)
  0.12     42.12     0.06                             hashtable_find (hashtable.h:334 @ 4837)
  0.09     42.16     0.04                             blake2b_compress (blake2b-ref.c:200 @ 865a)
  0.09     42.20     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8db4)
  0.09     42.24     0.04                             blake2b_compress (blake2b-ref.c:208 @ 95f8)
  0.09     42.28     0.04                             blake2b_compress (blake2b-ref.c:216 @ 9df6)
  0.08     42.32     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9da1)
  0.07     42.35     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8f08)
  0.07     42.38     0.03                             rabinkarp_update (rabinkarp.c:92 @ 8053)
  0.07     42.41     0.03                             rs_findmatch (delta.c:228 @ 5f9f)
