Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 32.26     16.95    16.95                             hashtable_find (hashtable.h:292 @ 475c)
  7.80     21.05     4.10                             rs_signature_find_match (sumset.c:253 @ 4737)
  6.92     24.68     3.64 536887296     6.77     6.77  rs_signature_find_match (sumset.c:247 @ 4720)
  5.93     27.80     3.12                             rabinkarp_rotate (rabinkarp.h:72 @ 5fd1)
  5.79     30.84     3.04                             rs_signature_find_match (sumset.c:257 @ 487b)
  4.00     32.94     2.10                             rs_signature_find_match (sumset.c:257 @ 485b)
  2.49     34.25     1.31                             rabinkarp_update (rabinkarp.c:93 @ 7e88)
  2.21     35.41     1.16                             hashtable_find (hashtable.h:292 @ 473b)
  2.19     36.56     1.15                             rs_delta_s_scan (delta.c:133 @ 5f7c)
  2.13     37.68     1.12                             hashtable_find (hashtable.h:293 @ 47b2)
  2.13     38.80     1.12                             hashtable_find (hashtable.h:294 @ 47b8)
  1.69     39.69     0.89                             rs_signature_find_match (sumset.c:256 @ 4874)
  1.51     40.49     0.80                             rs_appendmiss (delta.c:287 @ 5fca)
  1.41     41.23     0.74                             rs_findmatch (delta.c:244 @ 5e4b)
  1.11     41.81     0.59                             rs_delta_s_scan (delta.c:142 @ 5e60)
  0.92     42.30     0.49                             rs_delta_s_scan (delta.c:142 @ 5e71)
  0.89     42.76     0.47                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.75     43.16     0.40                             rs_delta_s_scan (delta.c:142 @ 5e79)
  0.70     43.53     0.37                             rabinkarp_rotate (rabinkarp.h:72 @ 5fc0)
  0.70     43.90     0.37                             rs_delta_s_scan (delta.c:141 @ 5e75)
  0.69     44.26     0.37                             weaksum_digest (checksum.h:116 @ 5f65)
  0.67     44.61     0.35                             weaksum_update (checksum.h:84 @ 5f4b)
  0.61     44.93     0.32                             rs_block_match_init (sumset.c:60 @ 474b)
  0.61     45.25     0.32                             rs_block_sig_init (sumset.c:35 @ 4753)
  0.61     45.57     0.32                             weaksum_digest (checksum.h:120 @ 5f6d)
  0.59     45.88     0.31                             rs_block_match_init (sumset.c:61 @ 474f)
  0.59     46.19     0.31                             rs_signature_find_match (sumset.c:247 @ 4746)
  0.57     46.49     0.30                             rs_findmatch (delta.c:225 @ 5f23)
  0.57     46.79     0.30                             rs_appendmiss (delta.c:287 @ 5eaf)
  0.56     47.09     0.30                             hashtable_find (hashtable.h:291 @ 4756)
  0.53     47.37     0.28                             mix32 (hashtable.h:153 @ 5e44)
  0.51     47.64     0.27                             rs_delta_s_scan (delta.c:133 @ 5efe)
  0.48     47.89     0.25                             rs_delta_s_scan (delta.c:133 @ 5f8e)
  0.45     48.12     0.24                             rs_delta_s_scan (delta.c:135 @ 5e56)
  0.40     48.33     0.21                             blake2b_compress (blake2b-ref.c:184 @ 8540)
  0.38     48.53     0.20                             weaksum_rotate (checksum.h:92 @ 5e6e)
  0.34     48.71     0.18                             rs_findmatch (delta.c:245 @ 5f5e)
  0.23     48.83     0.12                             rs_delta_s_scan (delta.c:158 @ 5fa7)
  0.21     48.94     0.11                             blake2b_compress (blake2b-ref.c:214 @ 9cfc)
  0.18     49.04     0.10                             rs_appendmiss (delta.c:291 @ 5f78)
  0.14     49.11     0.08  5245884    14.30    14.30  blake2b_compress (blake2b-ref.c:178 @ 8510)
  0.13     49.18     0.07                             blake2b_compress (blake2b-ref.c:183 @ 8548)
  0.10     49.23     0.05                             blake2b_compress (blake2b-ref.c:200 @ 8654)
  0.10     49.28     0.05                             blake2b_compress (blake2b-ref.c:216 @ 9d16)
  0.09     49.33     0.05                             blake2b_compress (blake2b-ref.c:208 @ 9623)
  0.08     49.37     0.04                             blake2b_compress (blake2b-ref.c:178 @ 852c)
  0.08     49.41     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8559)
  0.08     49.45     0.04                             blake2b_compress (blake2b-ref.c:188 @ 8568)
  0.07     49.48     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8ae3)
  0.07     49.52     0.04                             blake2b_compress (blake2b-ref.c:210 @ 99e3)
  0.07     49.55     0.04                             blake2b_compress (blake2b-ref.c:183 @ 852a)
  0.06     49.58     0.03                             blake2b_compress (blake2b-ref.c:200 @ 86a6)
  0.06     49.61     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8bf4)
  0.06     49.64     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9454)
  0.06     49.67     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99a2)
  0.06     49.70     0.03                             rotr64 (blake2-impl.h:155 @ 90b5)
  0.05     49.73     0.03                             blake2b_compress (blake2b-ref.c:187 @ 8570)
  0.05     49.75     0.03                             blake2b_compress (blake2b-ref.c:206 @ 930b)
  0.05     49.78     0.03                             blake2b_compress (blake2b-ref.c:207 @ 93e7)
  0.05     49.80     0.03                             blake2b_compress (blake2b-ref.c:208 @ 96ba)
  0.04     49.82     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8640)
  0.04     49.84     0.02                             blake2b_compress (blake2b-ref.c:200 @ 879a)
  0.04     49.86     0.02                             blake2b_compress (blake2b-ref.c:200 @ 87f3)
  0.04     49.88     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8834)
  0.04     49.90     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8950)
  0.04     49.92     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a49)
  0.04     49.94     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a6f)
  0.04     49.96     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ad3)
  0.04     49.98     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8cd4)
  0.04     50.00     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d0d)
  0.04     50.02     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8ea3)
  0.04     50.04     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9027)
  0.04     50.06     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9374)
  0.04     50.08     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9569)
  0.04     50.10     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9667)
  0.04     50.12     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97dc)
  0.04     50.14     0.02                             blake2b_compress (blake2b-ref.c:209 @ 982c)
  0.04     50.16     0.02                             blake2b_compress (blake2b-ref.c:210 @ 98d8)
  0.04     50.18     0.02                             blake2b_compress (blake2b-ref.c:210 @ 990b)
  0.04     50.20     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9cb4)
  0.04     50.22     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9cc1)
  0.04     50.24     0.02                             rabinkarp_update (rabinkarp.c:92 @ 7e6d)
  0.04     50.26     0.02                             rotr64 (blake2-impl.h:155 @ 881d)
  0.04     50.28     0.02                             rotr64 (blake2-impl.h:155 @ 8a00)
  0.04     50.30     0.02                             rotr64 (blake2-impl.h:155 @ 8b77)
  0.04     50.32     0.02                             rotr64 (blake2-impl.h:155 @ 8edc)
  0.04     50.34     0.02                             rotr64 (blake2-impl.h:155 @ 9561)
  0.04     50.36     0.02                             rotr64 (blake2-impl.h:155 @ 9885)
  0.04     50.38     0.02                             rotr64 (blake2-impl.h:155 @ 9cb0)
  0.04     50.40     0.02                             rs_appendmiss (delta.c:291 @ 5f87)
  0.04     50.42     0.02                             rs_appendmiss (delta.c:287 @ 5fdf)
