Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 33.64     18.12    18.12                             hashtable_find (hashtable.h:292 @ 475c)
  7.97     22.41     4.29                             rs_signature_find_match (sumset.c:253 @ 4737)
  6.03     25.65     3.25 536887296     6.05     6.05  rs_signature_find_match (sumset.c:247 @ 4720)
  5.01     28.35     2.70                             rs_signature_find_match (sumset.c:257 @ 487b)
  4.49     30.77     2.42                             rabinkarp_update (rabinkarp.h:83 @ 5f20)
  4.32     33.09     2.33                             rabinkarp_rotate (rabinkarp.h:93 @ 60fc)
  3.67     35.07     1.98                             rs_signature_find_match (sumset.c:257 @ 485b)
  2.64     36.49     1.42                             hashtable_find (hashtable.h:292 @ 473b)
  2.26     37.71     1.22                             rs_delta_s_scan (delta.c:133 @ 60a4)
  2.04     38.81     1.10                             hashtable_find (hashtable.h:293 @ 47b2)
  2.04     39.91     1.10                             hashtable_find (hashtable.h:294 @ 47b8)
  1.83     40.89     0.99                             rs_signature_find_match (sumset.c:256 @ 4874)
  1.43     41.66     0.77                             rs_findmatch (delta.c:244 @ 5f70)
  1.34     42.38     0.72                             rabinkarp_rotate (rabinkarp.h:93 @ 60e8)
  1.24     43.05     0.67                             rs_appendmiss (delta.c:287 @ 60f5)
  1.13     43.66     0.61                             rs_delta_s_scan (delta.c:142 @ 5f85)
  0.80     44.09     0.43                             rs_delta_s_scan (delta.c:142 @ 5f96)
  0.80     44.52     0.43                             weaksum_rotate (checksum.h:92 @ 5f93)
  0.78     44.94     0.42                             rs_appendmiss (delta.c:287 @ 5fd5)
  0.69     45.31     0.37                             rs_block_match_init (sumset.c:60 @ 474b)
  0.63     45.65     0.34                             RollsumInit (rollsum.h:46 @ 6206)
  0.57     45.96     0.31                             hashtable_find (hashtable.h:291 @ 4756)
  0.54     46.25     0.29                             rs_block_sig_init (sumset.c:35 @ 4753)
  0.50     46.52     0.27                             rs_delta_s_scan (delta.c:142 @ 5f9f)
  0.50     46.79     0.27                             rs_signature_find_match (sumset.c:247 @ 4746)
  0.50     47.06     0.27                             weaksum_digest (checksum.h:116 @ 6063)
  0.50     47.33     0.27                             weaksum_rotate (checksum.h:92 @ 5fa4)
  0.48     47.59     0.26                             rs_block_match_init (sumset.c:61 @ 474f)
  0.44     47.82     0.24                             rs_signature_add_block (sumset.c:235 @ 4718)
  0.41     48.04     0.22                             rs_delta_s_scan (delta.c:133 @ 60b6)
  0.40     48.26     0.22                             rs_findmatch (delta.c:245 @ 605c)
  0.37     48.46     0.20                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  0.37     48.66     0.20                             rs_delta_s_scan (delta.c:135 @ 5f7b)
  0.35     48.85     0.19                             rabinkarp_update (rabinkarp.h:86 @ 5f6c)
  0.33     49.03     0.18                             rs_findmatch (delta.c:228 @ 5edd)
  0.33     49.21     0.18                             rs_findmatch (delta.c:225 @ 5ee1)
  0.33     49.39     0.18                             rs_findmatch (delta.c:228 @ 5ee5)
  0.31     49.55     0.17                             weaksum_update (checksum.h:84 @ 6040)
  0.29     49.71     0.16                             rs_delta_s_scan (delta.c:158 @ 60d7)
  0.28     49.86     0.15                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  0.28     50.01     0.15                             rs_delta_s_scan (delta.c:133 @ 5eb8)
  0.28     50.16     0.15                             rs_delta_s_scan (delta.c:141 @ 5f9a)
  0.27     50.30     0.15                             rs_appendmiss (delta.c:291 @ 60a0)
  0.25     50.44     0.14                             rabinkarp_update (rabinkarp.h:82 @ 5f07)
  0.22     50.56     0.12                             weaksum_digest (checksum.h:118 @ 6096)
  0.20     50.67     0.11                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  0.13     50.74     0.07                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  0.11     50.80     0.06  5245884    11.44    11.44  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  0.11     50.86     0.06                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  0.07     50.90     0.04                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.07     50.94     0.04                             rs_appendmiss (delta.c:291 @ 60af)
  0.06     50.97     0.03                             blake2b_compress (blake2b-ref.c:200 @ 873c)
  0.06     51.00     0.03                             blake2b_compress (blake2b-ref.c:202 @ 89ac)
  0.06     51.03     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e33)
  0.06     51.06     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.06     51.09     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.06     51.12     0.03                             blake2b_compress (blake2b-ref.c:200 @ 85f5)
  0.06     51.15     0.03                             blake2b_compress (blake2b-ref.c:207 @ 945d)
  0.06     51.18     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9b3c)
  0.06     51.21     0.03                             rotr64 (blake2-impl.h:155 @ 8b49)
  0.05     51.23     0.03                             blake2b_compress (blake2b-ref.c:202 @ 89ff)
  0.05     51.26     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8b67)
  0.05     51.28     0.03                             blake2b_compress (blake2b-ref.c:206 @ 91b2)
  0.05     51.31     0.03                             blake2b_compress (blake2b-ref.c:210 @ 989b)
  0.05     51.33     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9a71)
  0.04     51.35     0.02                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.04     51.37     0.02                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  0.04     51.39     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8783)
  0.04     51.41     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87b1)
  0.04     51.43     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87c4)
  0.04     51.45     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8801)
  0.04     51.47     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8857)
  0.04     51.49     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8d28)
  0.04     51.51     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e19)
  0.04     51.53     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f44)
  0.04     51.55     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9060)
  0.04     51.57     0.02                             blake2b_compress (blake2b-ref.c:207 @ 948f)
  0.04     51.59     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9586)
  0.04     51.61     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.04     51.63     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95f7)
  0.04     51.65     0.02                             blake2b_compress (blake2b-ref.c:208 @ 964a)
  0.04     51.67     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9696)
  0.04     51.69     0.02                             blake2b_compress (blake2b-ref.c:209 @ 96e9)
  0.04     51.71     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97a2)
  0.04     51.73     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97e0)
  0.04     51.75     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97f5)
  0.04     51.77     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99b7)
  0.04     51.79     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a43)
  0.04     51.81     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bff)
  0.04     51.83     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c44)
  0.04     51.85     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c6a)
  0.04     51.87     0.02                             rabinkarp_update (rabinkarp.h:82 @ 5f33)
  0.04     51.89     0.02                             rotr64 (blake2-impl.h:155 @ 86e9)
  0.04     51.91     0.02                             rotr64 (blake2-impl.h:155 @ 87c1)
  0.04     51.93     0.02                             rotr64 (blake2-impl.h:155 @ 89a4)
  0.04     51.95     0.02                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.04     51.97     0.02                             rotr64 (blake2-impl.h:155 @ 940c)
  0.04     51.99     0.02                             rotr64 (blake2-impl.h:155 @ 9527)
  0.04     52.01     0.02                             rotr64 (blake2-impl.h:155 @ 9952)
  0.03     52.03     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8616)
  0.03     52.04     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.03     52.06     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8696)
  0.03     52.07     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88a2)
  0.03     52.09     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8df2)
  0.03     52.10     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e23)
  0.03     52.12     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90c2)
  0.03     52.13     0.02                             blake2b_compress (blake2b-ref.c:206 @ 928a)
  0.03     52.15     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9377)
  0.03     52.16     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9973)
  0.03     52.18     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a28)
  0.03     52.19     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b82)
  0.03     52.21     0.02                             rotr64 (blake2-impl.h:155 @ 984e)
  0.03     52.22     0.02                             blake2b_compress (blake2b-ref.c:207 @ 92d6)
  0.03     52.24     0.02                             rotr64 (blake2-impl.h:155 @ 92d3)
  0.02     52.25     0.01                             RollsumUpdate (rollsum.c:38 @ 7f70)
  0.02     52.26     0.01                             blake2b_compress (blake2b-ref.c:187 @ 8500)
  0.02     52.27     0.01                             blake2b_compress (blake2b-ref.c:200 @ 85bc)
  0.02     52.28     0.01                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.02     52.29     0.01                             blake2b_compress (blake2b-ref.c:200 @ 866f)
  0.02     52.30     0.01                             blake2b_compress (blake2b-ref.c:200 @ 871c)
  0.02     52.31     0.01                             blake2b_compress (blake2b-ref.c:200 @ 876b)
  0.02     52.32     0.01                             blake2b_compress (blake2b-ref.c:200 @ 878d)
  0.02     52.33     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
  0.02     52.34     0.01                             blake2b_compress (blake2b-ref.c:201 @ 886c)
  0.02     52.35     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8891)
  0.02     52.36     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88b1)
  0.02     52.37     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88bc)
  0.02     52.38     0.01                             blake2b_compress (blake2b-ref.c:201 @ 88c9)
  0.02     52.39     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8956)
  0.02     52.40     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8aa2)
  0.02     52.41     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8ab7)
  0.02     52.42     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b43)
  0.02     52.43     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8b7b)
  0.02     52.44     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8ba9)
  0.02     52.45     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8bba)
  0.02     52.46     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c2c)
  0.02     52.47     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
  0.02     52.48     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8c93)
  0.02     52.49     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cdd)
  0.02     52.50     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8d5b)
  0.02     52.51     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e77)
  0.02     52.52     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8ef2)
  0.02     52.53     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f27)
  0.02     52.54     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8f92)
  0.02     52.55     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fa3)
  0.02     52.56     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fd7)
  0.02     52.57     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fec)
  0.02     52.58     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9022)
  0.02     52.59     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9075)
  0.02     52.60     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9099)
  0.02     52.61     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90d6)
  0.02     52.62     0.01                             blake2b_compress (blake2b-ref.c:206 @ 911b)
  0.02     52.63     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9139)
  0.02     52.64     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9237)
  0.02     52.65     0.01                             blake2b_compress (blake2b-ref.c:206 @ 9255)
  0.02     52.66     0.01                             blake2b_compress (blake2b-ref.c:207 @ 92a1)
