Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 19.01      1.42     1.42                             RollsumUpdate (rollsum.c:39 @ 7e2d)
  4.55      1.76     0.34                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  3.48      2.02     0.26                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  2.81      2.23     0.21                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  2.01      2.38     0.15                             RollsumUpdate (rollsum.c:39 @ 7e20)
  1.61      2.50     0.12                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  1.20      2.59     0.09  8421376    10.69    10.69  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  1.20      2.68     0.09                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  1.20      2.77     0.09                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  1.07      2.85     0.08                             blake2b_compress (blake2b-ref.c:208 @ 94a8)
  0.87      2.92     0.07                             blake2b_compress (blake2b-ref.c:216 @ 9ca6)
  0.80      2.98     0.06                             RollsumUpdate (rollsum.c:38 @ 7eea)
  0.74      3.03     0.06                             blake2b_compress (blake2b-ref.c:200 @ 872a)
  0.67      3.08     0.05                             RollsumUpdate (rollsum.c:38 @ 7dfe)
  0.67      3.13     0.05                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.67      3.18     0.05                             blake2b_compress (blake2b-ref.c:210 @ 98f1)
  0.54      3.22     0.04                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.54      3.26     0.04                             blake2b_compress (blake2b-ref.c:200 @ 85f5)
  0.54      3.30     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8a63)
  0.54      3.34     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8d28)
  0.54      3.38     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8fec)
  0.54      3.42     0.04                             blake2b_compress (blake2b-ref.c:206 @ 90e8)
  0.54      3.46     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9538)
  0.54      3.50     0.04                             blake2b_compress (blake2b-ref.c:210 @ 989b)
  0.47      3.54     0.04                             blake2b_compress (blake2b-ref.c:200 @ 8616)
  0.47      3.57     0.04                             blake2b_compress (blake2b-ref.c:202 @ 89ff)
  0.47      3.61     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8e33)
  0.47      3.64     0.04                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.47      3.68     0.04                             blake2b_compress (blake2b-ref.c:210 @ 9932)
  0.47      3.71     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9435)
  0.40      3.74     0.03                             blake2b_compress (blake2b-ref.c:201 @ 87c4)
  0.40      3.77     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8837)
  0.40      3.80     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8956)
  0.40      3.83     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8968)
  0.40      3.86     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c17)
  0.40      3.89     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8db8)
  0.40      3.92     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8f16)
  0.40      3.95     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8fd7)
  0.40      3.98     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9a95)
  0.40      4.01     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9bc0)
  0.40      4.04     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c10)
  0.40      4.07     0.03                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.40      4.10     0.03                             rotr64 (blake2-impl.h:155 @ 9160)
  0.40      4.13     0.03                             rotr64 (blake2-impl.h:155 @ 98e0)
  0.40      4.16     0.03                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.40      4.19     0.03                             blake2b_compress (blake2b-ref.c:187 @ 8500)
  0.40      4.22     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8942)
  0.40      4.25     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8b67)
  0.33      4.28     0.03                             blake2b_compress (blake2b-ref.c:200 @ 86be)
  0.33      4.30     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9946)
  0.33      4.33     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a1b)
  0.33      4.35     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.33      4.38     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9ca1)
  0.33      4.40     0.03                             rotr64 (blake2-impl.h:155 @ 8722)
  0.33      4.43     0.03                             rotr64 (blake2-impl.h:155 @ 89fb)
  0.33      4.45     0.03                             rotr64 (blake2-impl.h:155 @ 90e2)
  0.33      4.48     0.03                             rotr64 (blake2-impl.h:155 @ 940c)
  0.27      4.50     0.02                             blake2b_compress (blake2b-ref.c:200 @ 85a4)
  0.27      4.52     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.27      4.54     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86f1)
  0.27      4.56     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87a7)
  0.27      4.58     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8857)
  0.27      4.60     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88c9)
  0.27      4.62     0.02                             blake2b_compress (blake2b-ref.c:202 @ 89ac)
  0.27      4.64     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b43)
  0.27      4.66     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8ba9)
  0.27      4.68     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
  0.27      4.70     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8eca)
  0.27      4.72     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f27)
  0.27      4.74     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9031)
  0.27      4.76     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9075)
  0.27      4.78     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9139)
  0.27      4.80     0.02                             blake2b_compress (blake2b-ref.c:206 @ 91e3)
  0.27      4.82     0.02                             blake2b_compress (blake2b-ref.c:206 @ 91f3)
  0.27      4.84     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9237)
  0.27      4.86     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9304)
  0.27      4.88     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9683)
  0.27      4.90     0.02                             blake2b_compress (blake2b-ref.c:208 @ 968d)
  0.27      4.92     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9737)
  0.27      4.94     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97f5)
  0.27      4.96     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9868)
  0.27      4.98     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99d5)
  0.27      5.00     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9af1)
  0.27      5.02     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bed)
  0.27      5.04     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c44)
  0.27      5.06     0.02                             rotr64 (blake2-impl.h:155 @ 8632)
  0.27      5.08     0.02                             rotr64 (blake2-impl.h:155 @ 8889)
  0.27      5.10     0.02                             rotr64 (blake2-impl.h:155 @ 894e)
  0.27      5.12     0.02                             rotr64 (blake2-impl.h:155 @ 8990)
  0.27      5.14     0.02                             rotr64 (blake2-impl.h:155 @ 8aac)
  0.27      5.16     0.02                             rotr64 (blake2-impl.h:155 @ 8b32)
  0.27      5.18     0.02                             rotr64 (blake2-impl.h:155 @ 8f13)
  0.27      5.20     0.02                             rotr64 (blake2-impl.h:155 @ 9145)
  0.27      5.22     0.02                             rotr64 (blake2-impl.h:155 @ 9527)
  0.27      5.24     0.02                             rotr64 (blake2-impl.h:155 @ 9689)
  0.27      5.26     0.02                             rotr64 (blake2-impl.h:155 @ 97f1)
  0.27      5.28     0.02                             rotr64 (blake2-impl.h:155 @ 98b1)
  0.27      5.30     0.02                             rs_tube_write (tube.c:199 @ 848e)
  0.20      5.31     0.02                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.20      5.33     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86df)
  0.20      5.34     0.02                             blake2b_compress (blake2b-ref.c:201 @ 87b1)
  0.20      5.36     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b1b)
  0.20      5.37     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c39)
  0.20      5.39     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8df2)
  0.20      5.40     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f3b)
  0.20      5.42     0.02                             blake2b_compress (blake2b-ref.c:206 @ 91b2)
  0.20      5.43     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92a8)
  0.20      5.45     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92c3)
  0.20      5.46     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9377)
  0.20      5.48     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9723)
  0.20      5.49     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97a2)
  0.20      5.51     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9973)
  0.20      5.52     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9a71)
  0.20      5.54     0.02                             rotr64 (blake2-impl.h:155 @ 92b2)
  0.20      5.55     0.02                             rotr64 (blake2-impl.h:155 @ 967f)
  0.20      5.57     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90d6)
  0.20      5.58     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9a14)
  0.20      5.60     0.02                             rotr64 (blake2-impl.h:155 @ 86ba)
  0.20      5.61     0.02                             rotr64 (blake2-impl.h:155 @ 992e)
  0.13      5.62     0.01                             RollsumUpdate (rollsum.c:40 @ 7e29)
  0.13      5.63     0.01                             blake2b_compress (blake2b-ref.c:200 @ 85c6)
  0.13      5.64     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8661)
  0.13      5.65     0.01                             blake2b_compress (blake2b-ref.c:200 @ 866f)
  0.13      5.66     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86a9)
  0.13      5.67     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8713)
  0.13      5.68     0.01                             blake2b_compress (blake2b-ref.c:200 @ 873c)
  0.13      5.69     0.01                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
  0.13      5.70     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8823)
  0.13      5.71     0.01                             blake2b_compress (blake2b-ref.c:201 @ 882d)
  0.13      5.72     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8891)
