Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 15.40      1.23     1.23                             RollsumUpdate (rollsum.c:39 @ 7e2d)
  3.63      1.52     0.29                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  2.63      1.73     0.21                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  2.50      1.93     0.20                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  1.75      2.07     0.14                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  1.25      2.17     0.10                             RollsumUpdate (rollsum.c:38 @ 7eea)
  1.25      2.27     0.10                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  0.88      2.34     0.07                             blake2b_compress (blake2b-ref.c:216 @ 9ca6)
  0.81      2.41     0.07  9437184     6.89     6.89  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  0.75      2.47     0.06                             RollsumUpdate (rollsum.c:39 @ 7e20)
  0.63      2.52     0.05                             RollsumUpdate (rollsum.c:38 @ 7dfe)
  0.63      2.57     0.05                             blake2b_compress (blake2b-ref.c:208 @ 95b3)
  0.56      2.61     0.05                             blake2b_compress (blake2b-ref.c:203 @ 8bf7)
  0.56      2.66     0.05                             blake2b_compress (blake2b-ref.c:203 @ 8cb5)
  0.56      2.70     0.05                             blake2b_compress (blake2b-ref.c:213 @ 9c82)
  0.50      2.74     0.04                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  0.50      2.78     0.04                             blake2b_compress (blake2b-ref.c:201 @ 87bb)
  0.50      2.82     0.04                             blake2b_compress (blake2b-ref.c:201 @ 87c4)
  0.50      2.86     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8b84)
  0.50      2.90     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
  0.50      2.94     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8fb7)
  0.50      2.98     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.50      3.02     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9538)
  0.44      3.06     0.04                             blake2b_compress (blake2b-ref.c:208 @ 964a)
  0.44      3.09     0.04                             blake2b_compress (blake2b-ref.c:210 @ 9973)
  0.44      3.13     0.04                             rs_tube_write (tube.c:199 @ 848e)
  0.38      3.16     0.03                             blake2b_compress (blake2b-ref.c:200 @ 85f5)
  0.38      3.19     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8636)
  0.38      3.22     0.03                             blake2b_compress (blake2b-ref.c:202 @ 89d9)
  0.38      3.25     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8d28)
  0.38      3.28     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8d5b)
  0.38      3.31     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8db8)
  0.38      3.34     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8fec)
  0.38      3.37     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9022)
  0.38      3.40     0.03                             blake2b_compress (blake2b-ref.c:206 @ 91f3)
  0.38      3.43     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9304)
  0.38      3.46     0.03                             blake2b_compress (blake2b-ref.c:210 @ 98f1)
  0.38      3.49     0.03                             blake2b_update (blake2b-ref.c:246 @ 9d11)
  0.38      3.52     0.03                             rotr64 (blake2-impl.h:155 @ 89cc)
  0.38      3.55     0.03                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.38      3.58     0.03  2097155    14.31    14.31  rs_tube_write (tube.c:193 @ 8460)
  0.38      3.61     0.03  1310721    22.89    22.89  rs_scoop_readahead (scoop.c:149 @ 8100)
  0.38      3.64     0.03                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.38      3.67     0.03                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.38      3.70     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9723)
  0.38      3.73     0.03                             rotr64 (blake2-impl.h:155 @ 8722)
  0.38      3.76     0.03                             rotr64 (blake2-impl.h:155 @ 9bbc)
  0.38      3.79     0.03                             rotr64 (blake2-impl.h:155 @ 9c40)
  0.38      3.82     0.03                             rs_scoop_readahead (scoop.c:153 @ 8111)
  0.38      3.85     0.03                             rs_sig_s_header (mksum.c:68 @ 7370)
  0.31      3.87     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e06)
  0.31      3.90     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9237)
  0.31      3.92     0.03                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.31      3.95     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8a32)
  0.31      3.97     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8f3b)
  0.31      4.00     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9397)
  0.31      4.02     0.03                             blake2b_compress (blake2b-ref.c:209 @ 96a7)
  0.31      4.05     0.03                             rotr64 (blake2-impl.h:155 @ 9b93)
  0.31      4.07     0.03                             rs_scoop_read (scoop.c:200 @ 81eb)
  0.25      4.09     0.02  1310721    15.26    38.15  rs_scoop_read (scoop.c:193 @ 81a0)
  0.25      4.11     0.02  1048576    19.08    19.08  rs_calc_strong_sum (checksum.c:59 @ 5800)
  0.25      4.13     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8616)
  0.25      4.15     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88e0)
  0.25      4.17     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88f5)
  0.25      4.19     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8968)
  0.25      4.21     0.02                             blake2b_compress (blake2b-ref.c:202 @ 89ac)
  0.25      4.23     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ab7)
  0.25      4.25     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c9d)
  0.25      4.27     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8d8d)
  0.25      4.29     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e33)
  0.25      4.31     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8eca)
  0.25      4.33     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8fad)
  0.25      4.35     0.02                             blake2b_compress (blake2b-ref.c:205 @ 903c)
  0.25      4.37     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90c2)
  0.25      4.39     0.02                             blake2b_compress (blake2b-ref.c:206 @ 90e8)
  0.25      4.41     0.02                             blake2b_compress (blake2b-ref.c:207 @ 936d)
  0.25      4.43     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93b9)
  0.25      4.45     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93da)
  0.25      4.47     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93e4)
  0.25      4.49     0.02                             blake2b_compress (blake2b-ref.c:207 @ 941d)
  0.25      4.51     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95f7)
  0.25      4.53     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9757)
  0.25      4.55     0.02                             blake2b_compress (blake2b-ref.c:209 @ 976c)
  0.25      4.57     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97b1)
  0.25      4.59     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97bc)
  0.25      4.61     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97e0)
  0.25      4.63     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9824)
  0.25      4.65     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99b7)
  0.25      4.67     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9a95)
  0.25      4.69     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c10)
  0.25      4.71     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c44)
  0.25      4.73     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.25      4.75     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c6a)
  0.25      4.77     0.02                             blake2b_compress (blake2b-ref.c:213 @ 9ca1)
  0.25      4.79     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9e1f)
  0.25      4.81     0.02                             blake2b_init_param (blake2b-ref.c:89 @ 9eaa)
  0.25      4.83     0.02                             blake2b_init_param (blake2b-ref.c:94 @ 9ed1)
  0.25      4.85     0.02                             blake2b_update (blake2b-ref.c:227 @ 9cd7)
  0.25      4.87     0.02                             blake2b_update (blake2b-ref.c:237 @ 9db7)
  0.25      4.89     0.02                             blake2b_update (blake2b-ref.c:224 @ a06a)
  0.25      4.91     0.02                             blake2b_update (blake2b-ref.c:246 @ a074)
  0.25      4.93     0.02                             rotr64 (blake2-impl.h:155 @ 8c35)
  0.25      4.95     0.02                             rotr64 (blake2-impl.h:155 @ 8cd2)
  0.25      4.97     0.02                             rotr64 (blake2-impl.h:155 @ 8f41)
  0.25      4.99     0.02                             rotr64 (blake2-impl.h:155 @ 9145)
  0.25      5.01     0.02                             rotr64 (blake2-impl.h:155 @ 921e)
  0.25      5.03     0.02                             rotr64 (blake2-impl.h:155 @ 9459)
  0.25      5.05     0.02                             rotr64 (blake2-impl.h:155 @ 9527)
  0.25      5.07     0.02                             rotr64 (blake2-impl.h:155 @ 9689)
  0.25      5.09     0.02                             rotr64 (blake2-impl.h:155 @ 982e)
  0.25      5.11     0.02                             rotr64 (blake2-impl.h:155 @ 9ace)
  0.25      5.13     0.02                             rotr64 (blake2-impl.h:155 @ 9ae9)
  0.25      5.15     0.02                             rotr64 (blake2-impl.h:155 @ 9ba4)
  0.25      5.17     0.02                             rs_calc_strong_sum (checksum.c:66 @ 5862)
  0.25      5.19     0.02                             rs_calc_weak_sum (checksum.c:34 @ 577e)
  0.25      5.21     0.02                             rs_calc_weak_sum (checksum.c:45 @ 57af)
  0.25      5.23     0.02                             rs_tube_catchup_write (tube.c:78 @ 82f6)
  0.25      5.25     0.02                             store64 (blake2-impl.h:112 @ a130)
  0.19      5.27     0.02  1310721    11.45    11.45  rs_sig_s_generate (mksum.c:94 @ 7380)
  0.19      5.28     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86be)
  0.19      5.30     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a63)
  0.19      5.31     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8a73)
  0.19      5.33     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b39)
