Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 27.36      2.55     2.55                             rabinkarp_update (rabinkarp.c:93 @ 7fb8)
  2.79      2.81     0.26                             blake2b_compress (blake2b-ref.c:214 @ 9e2c)
  2.47      3.04     0.23                             blake2b_compress (blake2b-ref.c:184 @ 8670)
  1.40      3.17     0.13                             blake2b_compress (blake2b-ref.c:188 @ 8698)
  1.29      3.29     0.12                             blake2b_compress (blake2b-ref.c:178 @ 865c)
  1.18      3.40     0.11                             blake2b_compress (blake2b-ref.c:183 @ 8678)
  1.07      3.50     0.10                             rabinkarp_update (rabinkarp.c:92 @ 7f9d)
  0.70      3.57     0.07                             blake2b_compress (blake2b-ref.c:200 @ 86aa)
  0.64      3.63     0.06                             blake2b_compress (blake2b-ref.c:210 @ 9a91)
  0.64      3.69     0.06                             rabinkarp_update (rabinkarp.c:92 @ 80a3)
  0.54      3.74     0.05                             blake2b_compress (blake2b-ref.c:208 @ 96d8)
  0.54      3.79     0.05                             blake2b_compress (blake2b-ref.c:211 @ 9d48)
  0.48      3.83     0.05  9437184     4.77     4.77  blake2b_compress (blake2b-ref.c:178 @ 8640)
  0.48      3.88     0.05                             blake2b_compress (blake2b-ref.c:187 @ 86a0)
  0.48      3.92     0.05                             blake2b_compress (blake2b-ref.c:216 @ 9e46)
  0.43      3.96     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8689)
  0.43      4.00     0.04                             blake2b_compress (blake2b-ref.c:207 @ 957a)
  0.43      4.04     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9648)
  0.43      4.08     0.04                             rs_calc_strong_sum (checksum.c:68 @ 58de)
  0.43      4.12     0.04                             rs_tube_write (tube.c:199 @ 862e)
  0.38      4.16     0.04                             blake2b_compress (blake2b-ref.c:200 @ 8923)
  0.38      4.19     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9393)
  0.32      4.22     0.03  1310721    22.89    22.89  rs_sig_s_generate (mksum.c:94 @ 7390)
  0.32      4.25     0.03                             blake2b_compress (blake2b-ref.c:200 @ 88dc)
  0.32      4.28     0.03                             blake2b_compress (blake2b-ref.c:200 @ 892d)
  0.32      4.31     0.03                             blake2b_compress (blake2b-ref.c:201 @ 895b)
  0.32      4.34     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8a69)
  0.32      4.37     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8b79)
  0.32      4.40     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8e04)
  0.32      4.43     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8ec8)
  0.32      4.46     0.03                             blake2b_compress (blake2b-ref.c:205 @ 90e4)
  0.32      4.49     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9215)
  0.32      4.52     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9239)
  0.32      4.55     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9276)
  0.32      4.58     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9537)
  0.32      4.61     0.03                             blake2b_compress (blake2b-ref.c:209 @ 990c)
  0.32      4.64     0.03                             blake2b_compress (blake2b-ref.c:209 @ 995c)
  0.32      4.67     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9b03)
  0.32      4.70     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c07)
  0.32      4.73     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c35)
  0.32      4.76     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9de4)
  0.32      4.79     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9e22)
  0.32      4.82     0.03                             rabinkarp_update (rabinkarp.c:94 @ 809f)
  0.32      4.85     0.03                             rotr64 (blake2-impl.h:155 @ 8a29)
  0.32      4.88     0.03                             rotr64 (blake2-impl.h:155 @ 96c7)
  0.32      4.91     0.03                             rotr64 (blake2-impl.h:155 @ 9929)
  0.32      4.94     0.03                             rotr64 (blake2-impl.h:155 @ 9c6e)
  0.27      4.97     0.03                             blake2b_compress (blake2b-ref.c:200 @ 87b6)
  0.27      4.99     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8cd9)
  0.27      5.02     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8e7d)
  0.27      5.04     0.03                             blake2b_compress (blake2b-ref.c:204 @ 906a)
  0.27      5.07     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9352)
  0.27      5.09     0.03                             blake2b_compress (blake2b-ref.c:206 @ 946d)
  0.27      5.12     0.03                             blake2b_compress (blake2b-ref.c:209 @ 98c3)
  0.27      5.14     0.03                             blake2b_compress (blake2b-ref.c:209 @ 99f6)
  0.27      5.17     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a3b)
  0.27      5.19     0.03                             blake2b_init0 (blake2b-ref.c:77 @ 9fe5)
  0.27      5.22     0.03                             rabinkarp_pow (rabinkarp.c:81 @ 80f7)
  0.27      5.24     0.03                             rotr64 (blake2-impl.h:155 @ 925a)
  0.27      5.27     0.03                             rotr64 (blake2-impl.h:155 @ 9576)
  0.27      5.29     0.03                             rotr64 (blake2-impl.h:155 @ 99da)
  0.21      5.31     0.02  1310721    15.26    15.26  rs_scoop_read (scoop.c:193 @ 8340)
  0.21      5.33     0.02  1048576    19.08    19.08  rs_calc_weak_sum (checksum.c:33 @ 5840)
  0.21      5.35     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8795)
  0.21      5.37     0.02                             blake2b_compress (blake2b-ref.c:200 @ 87d6)
  0.21      5.39     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8849)
  0.21      5.41     0.02                             blake2b_compress (blake2b-ref.c:200 @ 88ca)
  0.21      5.43     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8947)
  0.21      5.45     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8964)
  0.21      5.47     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a51)
  0.21      5.49     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b08)
  0.21      5.51     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ce3)
  0.21      5.53     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8cf6)
  0.21      5.55     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d1b)
  0.21      5.57     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8dea)
  0.21      5.59     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8e3d)
  0.21      5.61     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9157)
  0.21      5.63     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9171)
  0.21      5.65     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9177)
  0.21      5.67     0.02                             blake2b_compress (blake2b-ref.c:205 @ 918c)
  0.21      5.69     0.02                             blake2b_compress (blake2b-ref.c:205 @ 91e9)
  0.21      5.71     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9251)
  0.21      5.73     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9288)
  0.21      5.75     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92bb)
  0.21      5.77     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92d9)
  0.21      5.79     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9311)
  0.21      5.81     0.02                             blake2b_compress (blake2b-ref.c:207 @ 95d5)
  0.21      5.83     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9980)
  0.21      5.85     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a6d)
  0.21      5.87     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c79)
  0.21      5.89     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9ca8)
  0.21      5.91     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d60)
  0.21      5.93     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9e0a)
  0.21      5.95     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9fbf)
  0.21      5.97     0.02                             blake2b_update.part.0 (blake2b-ref.c:234 @ 9f92)
  0.21      5.99     0.02                             rabinkarp_pow (rabinkarp.c:78 @ 80f0)
  0.21      6.01     0.02                             rabinkarp_pow (rabinkarp.c:79 @ 80f4)
  0.21      6.03     0.02                             rotr64 (blake2-impl.h:155 @ 8740)
  0.21      6.05     0.02                             rotr64 (blake2-impl.h:155 @ 882f)
  0.21      6.07     0.02                             rotr64 (blake2-impl.h:155 @ 8889)
  0.21      6.09     0.02                             rotr64 (blake2-impl.h:155 @ 8a08)
