Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 30.70      2.83     2.83                             rabinkarp_update (rabinkarp.c:93 @ 7e88)
  2.17      3.03     0.20                             blake2b_compress (blake2b-ref.c:184 @ 8540)
  1.95      3.21     0.18                             blake2b_compress (blake2b-ref.c:214 @ 9cfc)
  1.57      3.36     0.15                             blake2b_compress (blake2b-ref.c:200 @ 857a)
  1.52      3.50     0.14                             blake2b_compress (blake2b-ref.c:183 @ 8548)
  0.87      3.58     0.08                             blake2b_compress (blake2b-ref.c:187 @ 8559)
  0.87      3.66     0.08                             blake2b_compress (blake2b-ref.c:188 @ 8568)
  0.87      3.74     0.08                             rabinkarp_update (rabinkarp.c:92 @ 7f73)
  0.76      3.81     0.07                             blake2b_compress (blake2b-ref.c:208 @ 9518)
  0.65      3.87     0.06                             blake2b_compress (blake2b-ref.c:200 @ 86a6)
  0.60      3.92     0.06                             blake2b_compress (blake2b-ref.c:216 @ 9d16)
  0.54      3.97     0.05                             blake2b_compress (blake2b-ref.c:178 @ 852c)
  0.54      4.02     0.05                             blake2b_compress (blake2b-ref.c:203 @ 8bf4)
  0.49      4.07     0.05                             blake2b_compress (blake2b-ref.c:200 @ 879a)
  0.43      4.11     0.04                             blake2b_compress (blake2b-ref.c:201 @ 8817)
  0.43      4.15     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8a6f)
  0.43      4.19     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8bd7)
  0.43      4.23     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8d98)
  0.43      4.27     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9cda)
  0.43      4.31     0.04                             blake2b_compress (blake2b-ref.c:213 @ 9cf2)
  0.38      4.34     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8570)
  0.38      4.38     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8c87)
  0.38      4.41     0.04                             blake2b_compress (blake2b-ref.c:207 @ 9357)
  0.38      4.45     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9bd7)
  0.38      4.48     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8ae3)
  0.33      4.51     0.03  9437184     3.18     3.18  blake2b_compress (blake2b-ref.c:178 @ 8510)
  0.33      4.54     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8834)
  0.33      4.57     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8a1c)
  0.33      4.60     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8a30)
  0.33      4.63     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8ad3)
  0.33      4.66     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8ea3)
  0.33      4.69     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8fab)
  0.33      4.72     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9374)
  0.33      4.75     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9454)
  0.33      4.78     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9569)
  0.33      4.81     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9623)
  0.33      4.84     0.03                             blake2b_compress (blake2b-ref.c:209 @ 97dc)
  0.33      4.87     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9961)
  0.33      4.90     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9abd)
  0.33      4.93     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9b78)
  0.33      4.96     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c18)
  0.33      4.99     0.03                             blake2b_update (blake2b-ref.c:235 @ 9dd8)
  0.33      5.02     0.03                             rotr64 (blake2-impl.h:155 @ 8a3c)
  0.33      5.05     0.03                             rotr64 (blake2-impl.h:155 @ 9079)
  0.33      5.08     0.03                             rotr64 (blake2-impl.h:155 @ 97f9)
  0.27      5.11     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8686)
  0.27      5.13     0.03                             blake2b_compress (blake2b-ref.c:200 @ 874f)
  0.27      5.16     0.03                             blake2b_compress (blake2b-ref.c:201 @ 88a7)
  0.27      5.18     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8912)
  0.27      5.21     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8e93)
  0.27      5.23     0.03                             blake2b_compress (blake2b-ref.c:205 @ 8ff1)
  0.27      5.26     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9263)
  0.27      5.28     0.03                             blake2b_compress (blake2b-ref.c:206 @ 92a7)
  0.27      5.31     0.03                             blake2b_compress (blake2b-ref.c:207 @ 93e7)
  0.27      5.33     0.03                             blake2b_compress (blake2b-ref.c:208 @ 96f3)
  0.27      5.36     0.03                             blake2b_compress (blake2b-ref.c:209 @ 97a7)
  0.27      5.38     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99e3)
  0.27      5.41     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9cc1)
  0.27      5.43     0.03                             blake2b_final (blake2b-ref.c:262 @ a18b)
  0.27      5.46     0.03                             blake2b_update (blake2b-ref.c:243 @ 9d7a)
  0.27      5.48     0.03                             rs_tube_write (tube.c:199 @ 84fe)
  0.22      5.50     0.02  1048576    19.08    19.08  blake2b_final (blake2b-ref.c:249 @ a0f0)
  0.22      5.52     0.02  1048576    19.08    19.08  rs_calc_strong_sum (checksum.c:59 @ 57e0)
  0.22      5.54     0.02                             RollsumUpdate (rollsum.c:38 @ 7e50)
  0.22      5.56     0.02                             blake2b_compress (blake2b-ref.c:183 @ 852a)
  0.22      5.58     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8654)
  0.22      5.60     0.02                             blake2b_compress (blake2b-ref.c:200 @ 86df)
  0.22      5.62     0.02                             blake2b_compress (blake2b-ref.c:200 @ 878c)
  0.22      5.64     0.02                             blake2b_compress (blake2b-ref.c:201 @ 88dc)
  0.22      5.66     0.02                             blake2b_compress (blake2b-ref.c:201 @ 892c)
  0.22      5.68     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8950)
  0.22      5.70     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b27)
  0.22      5.72     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8bc6)
  0.22      5.74     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8d03)
  0.22      5.76     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e62)
  0.22      5.78     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f97)
  0.22      5.80     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9092)
  0.22      5.82     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90a1)
  0.22      5.84     0.02                             blake2b_compress (blake2b-ref.c:205 @ 90d0)
  0.22      5.86     0.02                             blake2b_compress (blake2b-ref.c:206 @ 91e1)
  0.22      5.88     0.02                             blake2b_compress (blake2b-ref.c:206 @ 92c5)
  0.22      5.90     0.02                             blake2b_compress (blake2b-ref.c:207 @ 93b1)
  0.22      5.92     0.02                             blake2b_compress (blake2b-ref.c:207 @ 941c)
  0.22      5.94     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9483)
  0.22      5.96     0.02                             blake2b_compress (blake2b-ref.c:207 @ 94ff)
  0.22      5.98     0.02                             blake2b_compress (blake2b-ref.c:208 @ 954b)
  0.22      6.00     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95a8)
  0.22      6.02     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9667)
  0.22      6.04     0.02                             blake2b_compress (blake2b-ref.c:208 @ 9685)
  0.22      6.06     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9839)
  0.22      6.08     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9ab3)
  0.22      6.10     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c0e)
  0.22      6.12     0.02                             blake2b_init0 (blake2b-ref.c:75 @ 9e8f)
  0.22      6.14     0.02                             blake2b_init_param (blake2b-ref.c:89 @ 9f1a)
  0.22      6.16     0.02                             blake2b_init_param (blake2b-ref.c:90 @ 9f24)
  0.22      6.18     0.02                             blake2b_update (blake2b-ref.c:234 @ 9dcf)
  0.22      6.20     0.02                             rabinkarp_pow (rabinkarp.c:77 @ 7fb1)
  0.22      6.22     0.02                             rabinkarp_update (rabinkarp.c:92 @ 7e6d)
  0.22      6.24     0.02                             rabinkarp_update (rabinkarp.c:94 @ 7f6f)
  0.22      6.26     0.02                             rotr64 (blake2-impl.h:155 @ 8759)
  0.22      6.28     0.02                             rotr64 (blake2-impl.h:155 @ 8827)
  0.22      6.30     0.02                             rotr64 (blake2-impl.h:155 @ 8990)
  0.22      6.32     0.02                             rotr64 (blake2-impl.h:155 @ 8c98)
  0.22      6.34     0.02                             rotr64 (blake2-impl.h:155 @ 8d21)
  0.22      6.36     0.02                             rotr64 (blake2-impl.h:155 @ 8d71)
  0.22      6.38     0.02                             rotr64 (blake2-impl.h:155 @ 8e17)
  0.22      6.40     0.02                             rotr64 (blake2-impl.h:155 @ 8e82)
  0.22      6.42     0.02                             rotr64 (blake2-impl.h:155 @ 9425)
  0.22      6.44     0.02                             rotr64 (blake2-impl.h:155 @ 9698)
  0.22      6.46     0.02                             rotr64 (blake2-impl.h:155 @ 9885)
  0.22      6.48     0.02                             rotr64 (blake2-impl.h:155 @ 9950)
  0.22      6.50     0.02                             rotr64 (blake2-impl.h:155 @ 9b59)
  0.22      6.52     0.02                             rotr64 (blake2-impl.h:155 @ 9c03)
  0.22      6.54     0.02                             rotr64 (blake2-impl.h:155 @ 9c56)
  0.22      6.56     0.02                             rotr64 (blake2-impl.h:155 @ 9ce8)
  0.22      6.58     0.02                             rs_job_drive (job.c:161 @ 6860)
  0.22      6.60     0.02                             rs_scoop_readahead (scoop.c:153 @ 8195)
  0.22      6.62     0.02                             store64 (blake2-impl.h:112 @ a1a0)
  0.16      6.64     0.02  1048579    14.31    14.31  rs_squirt_n4 (netint.c:80 @ 7450)
  0.16      6.65     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8806)
  0.16      6.67     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8aa2)
  0.16      6.68     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8ab6)
  0.16      6.70     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8b98)
  0.16      6.71     0.02                             blake2b_compress (blake2b-ref.c:202 @ 8bbd)
  0.16      6.73     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c31)
  0.16      6.74     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8c53)
  0.16      6.76     0.02                             blake2b_compress (blake2b-ref.c:205 @ 8f86)
  0.16      6.77     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9114)
  0.16      6.79     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9253)
  0.16      6.80     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9333)
  0.16      6.82     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9361)
  0.16      6.83     0.02                             blake2b_compress (blake2b-ref.c:207 @ 944a)
  0.16      6.85     0.02                             blake2b_compress (blake2b-ref.c:208 @ 95f6)
  0.16      6.86     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9721)
  0.16      6.88     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98b2)
  0.16      6.89     0.02                             blake2b_compress (blake2b-ref.c:210 @ 990b)
  0.16      6.91     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a27)
  0.16      6.92     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9a66)
  0.16      6.94     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9b9f)
  0.16      6.95     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9bcd)
  0.16      6.97     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9c4f)
  0.16      6.98     0.02                             rotr64 (blake2-impl.h:155 @ 8792)
  0.16      7.00     0.02                             rotr64 (blake2-impl.h:155 @ 8803)
  0.16      7.01     0.02                             rotr64 (blake2-impl.h:155 @ 8adf)
  0.16      7.03     0.02                             rotr64 (blake2-impl.h:155 @ 8bc3)
  0.16      7.04     0.02                             rotr64 (blake2-impl.h:155 @ 911e)
  0.16      7.06     0.02                             rotr64 (blake2-impl.h:155 @ 9353)
  0.16      7.07     0.02                             rotr64 (blake2-impl.h:155 @ 93be)
  0.16      7.09     0.02                             rotr64 (blake2-impl.h:155 @ 9446)
  0.16      7.10     0.02                             rotr64 (blake2-impl.h:155 @ 95ee)
  0.16      7.12     0.02                             rotr64 (blake2-impl.h:155 @ 9a62)
  0.16      7.13     0.02                             rotr64 (blake2-impl.h:155 @ 9aa2)
  0.16      7.15     0.02                             rotr64 (blake2-impl.h:155 @ 9bef)
  0.16      7.16     0.02                             rotr64 (blake2-impl.h:155 @ 9cd3)
  0.16      7.18     0.02                             rs_tube_write (tube.c:198 @ 84f7)
  0.11      7.19     0.01  2097155     4.77     4.77  rs_tube_write (tube.c:193 @ 84d0)
  0.11      7.20     0.01  1048576     9.54     9.54  blake2b_update (blake2b-ref.c:222 @ a0d0)
  0.11      7.21     0.01  1048576     9.54     9.54  rs_calc_weak_sum (checksum.c:33 @ 5770)
  0.11      7.22     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8665)
  0.11      7.23     0.01                             blake2b_compress (blake2b-ref.c:200 @ 86f3)
  0.11      7.24     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8761)
  0.11      7.25     0.01                             blake2b_compress (blake2b-ref.c:200 @ 8783)
  0.11      7.26     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87ac)
  0.11      7.27     0.01                             blake2b_compress (blake2b-ref.c:200 @ 87e9)
  0.11      7.28     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8821)
  0.11      7.29     0.01                             blake2b_compress (blake2b-ref.c:201 @ 882b)
  0.11      7.30     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8871)
  0.11      7.31     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8893)
  0.11      7.32     0.01                             blake2b_compress (blake2b-ref.c:201 @ 8965)
  0.11      7.33     0.01                             blake2b_compress (blake2b-ref.c:201 @ 89a1)
  0.11      7.34     0.01                             blake2b_compress (blake2b-ref.c:201 @ 89b2)
  0.11      7.35     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8a08)
  0.11      7.36     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8b8b)
  0.11      7.37     0.01                             blake2b_compress (blake2b-ref.c:202 @ 8bb3)
  0.11      7.38     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8be1)
  0.11      7.39     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8cd4)
  0.11      7.40     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d0d)
  0.11      7.41     0.01                             blake2b_compress (blake2b-ref.c:203 @ 8d61)
  0.11      7.42     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8dcb)
  0.11      7.43     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e28)
  0.11      7.44     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8e89)
  0.11      7.45     0.01                             blake2b_compress (blake2b-ref.c:204 @ 8f3a)
  0.11      7.46     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fa1)
  0.11      7.47     0.01                             blake2b_compress (blake2b-ref.c:205 @ 8fd9)
  0.11      7.48     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9041)
  0.11      7.49     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90b9)
  0.11      7.50     0.01                             blake2b_compress (blake2b-ref.c:205 @ 90e5)
  0.11      7.51     0.01                             blake2b_compress (blake2b-ref.c:205 @ 9132)
  0.11      7.52     0.01                             blake2b_compress (blake2b-ref.c:206 @ 92cb)
  0.11      7.53     0.01                             blake2b_compress (blake2b-ref.c:206 @ 930b)
  0.11      7.54     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9346)
  0.11      7.55     0.01                             blake2b_compress (blake2b-ref.c:207 @ 936b)
  0.11      7.56     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9399)
  0.11      7.57     0.01                             blake2b_compress (blake2b-ref.c:207 @ 9429)
  0.11      7.58     0.01                             blake2b_compress (blake2b-ref.c:207 @ 943a)
  0.11      7.59     0.01                             blake2b_compress (blake2b-ref.c:208 @ 957d)
