Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 37.09      3.88     3.88                             rabinkarp_update (rabinkarp.h:83 @ 5ab0)
  2.63      4.15     0.28                             rabinkarp_init (rabinkarp.h:75 @ 5aa9)
  2.49      4.41     0.26                             blake2b_compress (blake2b-ref.c:200 @ 8c87)
  2.20      4.64     0.23                             blake2b_compress (blake2b-ref.c:178 @ 8c2d)
  1.82      4.83     0.19                             blake2b_compress (blake2b-ref.c:200 @ 8bfa)
  1.72      5.01     0.18                             blake2b_compress (blake2b-ref.c:214 @ a4cb)
  0.91      5.11     0.10                             blake2b_compress (blake2b-ref.c:216 @ a51f)
  0.77      5.19     0.08                             blake2b_compress (blake2b-ref.c:206 @ 9913)
  0.67      5.26     0.07  8388608     8.35     8.35  blake2b_compress (blake2b-ref.c:178 @ 8be0)
  0.67      5.33     0.07                             blake2b_compress (blake2b-ref.c:210 @ a129)
  0.57      5.39     0.06                             blake2b_init0 (blake2b-ref.c:75 @ a7f6)
  0.48      5.44     0.05                             blake2b_compress (blake2b-ref.c:200 @ 8ed0)
  0.48      5.49     0.05                             blake2b_compress (blake2b-ref.c:205 @ 9867)
  0.38      5.53     0.04                             blake2b_compress (blake2b-ref.c:203 @ 940e)
  0.38      5.57     0.04                             blake2b_compress (blake2b-ref.c:204 @ 9550)
  0.38      5.61     0.04                             blake2b_compress (blake2b-ref.c:204 @ 9583)
  0.38      5.65     0.04                             blake2b_compress (blake2b-ref.c:214 @ a4ab)
  0.33      5.68     0.04                             blake2b_compress (blake2b-ref.c:200 @ 8eab)
  0.33      5.72     0.04                             blake2b_compress (blake2b-ref.c:208 @ 9de4)
  0.33      5.75     0.04                             rotr64 (blake2-impl.h:155 @ 9bfa)
  0.33      5.79     0.04                             blake2b_compress (blake2b-ref.c:206 @ 99aa)
  0.29      5.82     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8de5)
  0.29      5.85     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8f10)
  0.29      5.88     0.03                             blake2b_compress (blake2b-ref.c:202 @ 91bd)
  0.29      5.91     0.03                             blake2b_compress (blake2b-ref.c:202 @ 9291)
  0.29      5.94     0.03                             blake2b_compress (blake2b-ref.c:202 @ 936b)
  0.29      5.97     0.03                             blake2b_compress (blake2b-ref.c:203 @ 94a4)
  0.29      6.00     0.03                             blake2b_compress (blake2b-ref.c:204 @ 95e0)
  0.29      6.03     0.03                             blake2b_compress (blake2b-ref.c:204 @ 965b)
  0.29      6.06     0.03                             blake2b_compress (blake2b-ref.c:205 @ 976c)
  0.29      6.09     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9946)
  0.29      6.12     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9964)
  0.29      6.15     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9af4)
  0.29      6.18     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9d69)
  0.29      6.21     0.03                             blake2b_compress (blake2b-ref.c:211 @ a2bf)
  0.29      6.24     0.03                             blake2b_update (blake2b-ref.c:235 @ aaf1)
  0.29      6.27     0.03                             rs_tube_catchup_write (tube.c:78 @ 8a36)
  0.29      6.30     0.03                             rs_tube_write (tube.c:199 @ 8bce)
  0.24      6.32     0.03  1310724    19.08    19.08  rs_tube_catchup (tube.c:137 @ 8990)
  0.24      6.35     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8e27)
  0.24      6.37     0.03                             blake2b_compress (blake2b-ref.c:201 @ 9102)
  0.24      6.40     0.03                             blake2b_compress (blake2b-ref.c:204 @ 962e)
  0.24      6.42     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9817)
  0.24      6.45     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9978)
  0.24      6.47     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9ca2)
  0.24      6.50     0.03                             blake2b_compress (blake2b-ref.c:208 @ 9d2a)
  0.24      6.52     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9ec7)
  0.24      6.55     0.03                             blake2b_compress (blake2b-ref.c:209 @ a04a)
  0.24      6.57     0.03                             rotr64 (blake2-impl.h:155 @ 963a)
  0.24      6.60     0.03                             rotr64 (blake2-impl.h:155 @ 9fba)
  0.24      6.62     0.03                             rs_job_work (job.c:125 @ 6b20)
  0.24      6.65     0.03                             uint32_pow (rabinkarp.h:62 @ 5ac8)
  0.19      6.67     0.02  1048576    19.08    19.08  blake2b_update (blake2b-ref.c:222 @ a9f0)
  0.19      6.69     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8d8a)
  0.19      6.71     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8dae)
  0.19      6.73     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8ddb)
  0.19      6.75     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8f98)
  0.19      6.77     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8fc6)
  0.19      6.79     0.02                             blake2b_compress (blake2b-ref.c:202 @ 91ef)
  0.19      6.81     0.02                             blake2b_compress (blake2b-ref.c:203 @ 9374)
  0.19      6.83     0.02                             blake2b_compress (blake2b-ref.c:203 @ 93a9)
  0.19      6.85     0.02                             blake2b_compress (blake2b-ref.c:203 @ 943c)
  0.19      6.87     0.02                             blake2b_compress (blake2b-ref.c:204 @ 9617)
  0.19      6.89     0.02                             blake2b_compress (blake2b-ref.c:204 @ 969f)
  0.19      6.91     0.02                             blake2b_compress (blake2b-ref.c:206 @ 99f4)
