Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 29.57      2.53     2.53                             rabinkarp_update (rabinkarp.c:93 @ 7f68)
  3.40      2.82     0.29                             blake2b_compress (blake2b-ref.c:214 @ 9ddc)
  3.04      3.08     0.26                             blake2b_compress (blake2b-ref.c:184 @ 8620)
  1.99      3.25     0.17                             blake2b_compress (blake2b-ref.c:183 @ 8628)
  1.46      3.37     0.13  8421376    14.85    14.85  blake2b_compress (blake2b-ref.c:178 @ 85f0)
  1.41      3.49     0.12                             blake2b_compress (blake2b-ref.c:188 @ 8648)
  1.35      3.61     0.12                             blake2b_compress (blake2b-ref.c:200 @ 865a)
  1.11      3.70     0.10                             blake2b_compress (blake2b-ref.c:183 @ 860a)
  0.82      3.77     0.07                             blake2b_compress (blake2b-ref.c:200 @ 8786)
  0.70      3.83     0.06                             blake2b_compress (blake2b-ref.c:178 @ 860c)
  0.70      3.89     0.06                             blake2b_compress (blake2b-ref.c:207 @ 9454)
  0.59      3.94     0.05                             blake2b_compress (blake2b-ref.c:187 @ 8639)
  0.59      3.99     0.05                             blake2b_compress (blake2b-ref.c:204 @ 8f83)
  0.59      4.04     0.05                             blake2b_compress (blake2b-ref.c:208 @ 95f8)
  0.59      4.09     0.05                             rotr64 (blake2-impl.h:155 @ 9a30)
  0.59      4.14     0.05                             blake2b_compress (blake2b-ref.c:208 @ 9688)
  0.53      4.19     0.05                             blake2b_compress (blake2b-ref.c:213 @ 9dd2)
  0.47      4.23     0.04                             blake2b_compress (blake2b-ref.c:201 @ 8a45)
  0.47      4.27     0.04                             blake2b_compress (blake2b-ref.c:206 @ 92c1)
  0.41      4.30     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8bc3)
  0.41      4.34     0.04                             blake2b_compress (blake2b-ref.c:204 @ 8f42)
  0.41      4.37     0.04                             blake2b_compress (blake2b-ref.c:205 @ 9077)
  0.41      4.41     0.04                             blake2b_compress (blake2b-ref.c:206 @ 926b)
  0.41      4.44     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9413)
  0.41      4.48     0.04                             blake2b_compress (blake2b-ref.c:210 @ 99eb)
  0.35      4.51     0.03                             blake2b_compress (blake2b-ref.c:200 @ 872a)
  0.35      4.54     0.03                             blake2b_compress (blake2b-ref.c:200 @ 8841)
  0.35      4.57     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8914)
  0.35      4.60     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8a0c)
  0.35      4.63     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8a81)
  0.35      4.66     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8b29)
  0.35      4.69     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8db4)
  0.35      4.72     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8f08)
  0.35      4.75     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8fc7)
  0.35      4.78     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9094)
  0.35      4.81     0.03                             blake2b_compress (blake2b-ref.c:205 @ 913c)
  0.35      4.84     0.03                             blake2b_compress (blake2b-ref.c:205 @ 91c5)
  0.35      4.87     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9387)
  0.35      4.90     0.03                             blake2b_compress (blake2b-ref.c:208 @ 97d3)
  0.35      4.93     0.03                             blake2b_compress (blake2b-ref.c:209 @ 97f7)
  0.35      4.96     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9b93)
  0.35      4.99     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9be5)
  0.35      5.02     0.03                             rabinkarp_update (rabinkarp.c:92 @ 8053)
  0.35      5.05     0.03                             rotr64 (blake2-impl.h:155 @ 89d9)
  0.29      5.07     0.03                             rabinkarp_update (rabinkarp.c:94 @ 804f)
  0.29      5.10     0.03                             rotr64 (blake2-impl.h:155 @ 9b42)
  0.29      5.12     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8d3d)
  0.29      5.15     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8eab)
  0.29      5.17     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9585)
  0.29      5.20     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a41)
  0.29      5.22     0.03                             rotr64 (blake2-impl.h:155 @ 9232)
  0.29      5.25     0.03                             rotr64 (blake2-impl.h:155 @ 9ce3)
  0.23      5.27     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8745)
  0.23      5.29     0.02                             blake2b_compress (blake2b-ref.c:200 @ 87e6)
  0.23      5.31     0.02                             blake2b_compress (blake2b-ref.c:200 @ 887a)
  0.23      5.33     0.02                             blake2b_compress (blake2b-ref.c:200 @ 88bb)
  0.23      5.35     0.02                             blake2b_compress (blake2b-ref.c:200 @ 88d3)
  0.23      5.37     0.02                             blake2b_compress (blake2b-ref.c:201 @ 890b)
  0.23      5.39     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8939)
  0.23      5.41     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a01)
  0.23      5.43     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8a30)
  0.23      5.45     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8e05)
  0.23      5.47     0.02                             blake2b_compress (blake2b-ref.c:203 @ 8e2d)
  0.23      5.49     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8e78)
  0.23      5.51     0.02                             blake2b_compress (blake2b-ref.c:204 @ 8ec9)
  0.23      5.53     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9066)
  0.23      5.55     0.02                             blake2b_compress (blake2b-ref.c:205 @ 908b)
  0.23      5.57     0.02                             blake2b_compress (blake2b-ref.c:205 @ 9226)
  0.23      5.59     0.02                             blake2b_compress (blake2b-ref.c:206 @ 9316)
  0.23      5.61     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9441)
  0.23      5.63     0.02                             blake2b_compress (blake2b-ref.c:207 @ 9534)
  0.23      5.65     0.02                             blake2b_compress (blake2b-ref.c:208 @ 96e9)
  0.23      5.67     0.02                             blake2b_compress (blake2b-ref.c:209 @ 97e6)
  0.23      5.69     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98a1)
  0.23      5.71     0.02                             blake2b_compress (blake2b-ref.c:209 @ 98a7)
  0.23      5.73     0.02                             blake2b_compress (blake2b-ref.c:209 @ 9945)
  0.23      5.75     0.02                             blake2b_compress (blake2b-ref.c:210 @ 99b8)
  0.23      5.77     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9ac3)
  0.23      5.79     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b46)
  0.23      5.81     0.02                             blake2b_compress (blake2b-ref.c:210 @ 9b9d)
  0.23      5.83     0.02                             blake2b_compress (blake2b-ref.c:211 @ 9d10)
  0.23      5.85     0.02                             blake2b_compress (blake2b-ref.c:213 @ 9df1)
  0.23      5.87     0.02                             blake2b_update (blake2b-ref.c:235 @ 9f0c)
  0.23      5.89     0.02                             rabinkarp_update (rabinkarp.c:92 @ 7f4d)
  0.23      5.91     0.02                             rotr64 (blake2-impl.h:155 @ 8839)
  0.23      5.93     0.02                             rotr64 (blake2-impl.h:155 @ 8911)
  0.23      5.95     0.02                             rotr64 (blake2-impl.h:155 @ 8a15)
  0.23      5.97     0.02                             rotr64 (blake2-impl.h:155 @ 8ef7)
  0.23      5.99     0.02                             rotr64 (blake2-impl.h:155 @ 8fbc)
  0.23      6.01     0.02                             rotr64 (blake2-impl.h:155 @ 9063)
  0.23      6.03     0.02                             rotr64 (blake2-impl.h:155 @ 9159)
  0.23      6.05     0.02                             rotr64 (blake2-impl.h:155 @ 9184)
  0.23      6.07     0.02                             rotr64 (blake2-impl.h:155 @ 920a)
  0.23      6.09     0.02                             rotr64 (blake2-impl.h:155 @ 9263)
  0.23      6.11     0.02                             rotr64 (blake2-impl.h:155 @ 9281)
  0.23      6.13     0.02                             rotr64 (blake2-impl.h:155 @ 92b0)
  0.23      6.15     0.02                             rotr64 (blake2-impl.h:155 @ 9322)
  0.23      6.17     0.02                             rotr64 (blake2-impl.h:155 @ 9655)
  0.23      6.19     0.02                             rotr64 (blake2-impl.h:155 @ 984d)
  0.23      6.21     0.02                             rotr64 (blake2-impl.h:155 @ 98d9)
