Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 31.48      2.71     2.71                             rabinkarp_update (rabinkarp.c:93 @ 7e88)
  4.07      3.06     0.35                             blake2b_compress (blake2b-ref.c:184 @ 8540)
  3.02      3.32     0.26                             blake2b_compress (blake2b-ref.c:214 @ 9cfc)
  1.51      3.45     0.13                             blake2b_compress (blake2b-ref.c:178 @ 852c)
  1.39      3.57     0.12                             blake2b_compress (blake2b-ref.c:183 @ 8548)
  1.28      3.68     0.11                             blake2b_compress (blake2b-ref.c:188 @ 8568)
  0.81      3.75     0.07                             blake2b_compress (blake2b-ref.c:211 @ 9cc1)
  0.81      3.82     0.07                             rabinkarp_update (rabinkarp.c:92 @ 7e6d)
  0.76      3.89     0.07  8421376     7.72     7.72  blake2b_compress (blake2b-ref.c:178 @ 8510)
  0.76      3.95     0.07                             blake2b_compress (blake2b-ref.c:183 @ 852a)
  0.70      4.01     0.06                             blake2b_compress (blake2b-ref.c:200 @ 857a)
  0.58      4.06     0.05                             blake2b_compress (blake2b-ref.c:207 @ 9374)
  0.58      4.11     0.05                             blake2b_compress (blake2b-ref.c:208 @ 95a8)
  0.52      4.16     0.05                             blake2b_compress (blake2b-ref.c:216 @ 9d16)
  0.46      4.20     0.04                             blake2b_compress (blake2b-ref.c:187 @ 8570)
  0.46      4.24     0.04                             blake2b_compress (blake2b-ref.c:203 @ 8cca)
  0.46      4.28     0.04                             blake2b_compress (blake2b-ref.c:205 @ 8fb4)
  0.46      4.32     0.04                             blake2b_compress (blake2b-ref.c:206 @ 9263)
  0.46      4.36     0.04                             rotr64 (blake2-impl.h:155 @ 9597)
  0.41      4.39     0.04                             blake2b_compress (blake2b-ref.c:200 @ 86a6)
  0.35      4.42     0.03                             blake2b_compress (blake2b-ref.c:200 @ 87ac)
  0.35      4.45     0.03                             blake2b_compress (blake2b-ref.c:201 @ 8901)
  0.35      4.48     0.03                             blake2b_compress (blake2b-ref.c:202 @ 89d8)
  0.35      4.51     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8a6f)
  0.35      4.54     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8ba9)
  0.35      4.57     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8bf4)
  0.35      4.60     0.03                             blake2b_compress (blake2b-ref.c:205 @ 9047)
  0.35      4.63     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9158)
  0.35      4.66     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9454)
  0.35      4.69     0.03                             blake2b_compress (blake2b-ref.c:207 @ 9483)
  0.35      4.72     0.03                             blake2b_compress (blake2b-ref.c:207 @ 948d)
  0.35      4.75     0.03                             blake2b_compress (blake2b-ref.c:208 @ 96f3)
  0.35      4.78     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9961)
  0.35      4.81     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99c9)
  0.35      4.84     0.03                             blake2b_compress (blake2b-ref.c:210 @ 99e3)
  0.35      4.87     0.03                             blake2b_compress (blake2b-ref.c:211 @ 9c30)
  0.35      4.90     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9cf2)
  0.35      4.93     0.03                             rabinkarp_update (rabinkarp.c:92 @ 7f73)
  0.35      4.96     0.03                             rotr64 (blake2-impl.h:155 @ 8ba2)
  0.35      4.99     0.03                             rotr64 (blake2-impl.h:155 @ 8e17)
  0.35      5.02     0.03                             rotr64 (blake2-impl.h:155 @ 94a1)
  0.29      5.05     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8ae3)
  0.29      5.07     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8bbd)
  0.29      5.10     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8ca9)
  0.29      5.12     0.03                             blake2b_compress (blake2b-ref.c:204 @ 8ea3)
  0.29      5.15     0.03                             blake2b_compress (blake2b-ref.c:206 @ 9292)
  0.29      5.17     0.03                             blake2b_compress (blake2b-ref.c:206 @ 92a7)
  0.29      5.20     0.03                             blake2b_compress (blake2b-ref.c:207 @ 93e7)
  0.29      5.22     0.03                             blake2b_compress (blake2b-ref.c:207 @ 94a5)
  0.29      5.25     0.03                             blake2b_compress (blake2b-ref.c:208 @ 95f6)
  0.29      5.27     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9706)
  0.29      5.30     0.03                             blake2b_compress (blake2b-ref.c:209 @ 9771)
  0.29      5.32     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9a98)
  0.29      5.35     0.03                             blake2b_compress (blake2b-ref.c:210 @ 9aa9)
  0.29      5.37     0.03                             blake2b_compress (blake2b-ref.c:213 @ 9d11)
  0.23      5.39     0.02                             blake2b_compress (blake2b-ref.c:187 @ 8559)
  0.23      5.41     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8665)
  0.23      5.43     0.02                             blake2b_compress (blake2b-ref.c:200 @ 874f)
  0.23      5.45     0.02                             blake2b_compress (blake2b-ref.c:200 @ 8761)
  0.23      5.47     0.02                             blake2b_compress (blake2b-ref.c:200 @ 879a)
  0.23      5.49     0.02                             blake2b_compress (blake2b-ref.c:201 @ 8817)
