Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 41.62      4.22     4.22                             rabinkarp_update (rabinkarp.h:83 @ 57d0)
  3.55      4.58     0.36                             blake2b_compress (blake2b-ref.c:184 @ 84d0)
  2.96      4.88     0.30                             rabinkarp_init (rabinkarp.h:75 @ 57c1)
  2.47      5.13     0.25                             blake2b_compress (blake2b-ref.c:214 @ 9c8c)
  1.18      5.25     0.12                             blake2b_compress (blake2b-ref.c:188 @ 84f8)
  0.89      5.34     0.09                             blake2b_compress (blake2b-ref.c:183 @ 84d8)
  0.79      5.42     0.08  8421376     9.50     9.50  blake2b_compress (blake2b-ref.c:178 @ 84a0)
  0.69      5.49     0.07                             blake2b_compress (blake2b-ref.c:200 @ 850a)
  0.69      5.56     0.07                             blake2b_compress (blake2b-ref.c:211 @ 9c51)
  0.69      5.63     0.07                             blake2b_compress (blake2b-ref.c:216 @ 9ca6)
  0.49      5.68     0.05                             blake2b_compress (blake2b-ref.c:183 @ 84ba)
  0.49      5.73     0.05                             blake2b_compress (blake2b-ref.c:206 @ 9171)
  0.49      5.78     0.05                             blake2b_compress (blake2b-ref.c:206 @ 91f3)
  0.49      5.83     0.05                             blake2b_compress (blake2b-ref.c:213 @ 9c82)
  0.39      5.87     0.04                             blake2b_compress (blake2b-ref.c:187 @ 84e9)
  0.39      5.91     0.04                             blake2b_compress (blake2b-ref.c:208 @ 964a)
  0.39      5.95     0.04                             blake2b_compress (blake2b-ref.c:211 @ 9bc0)
  0.39      5.99     0.04                             rotr64 (blake2-impl.h:155 @ 8da7)
  0.39      6.03     0.04                             rotr64 (blake2-impl.h:155 @ 98e0)
  0.35      6.07     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8a73)
  0.35      6.10     0.04                             blake2b_compress (blake2b-ref.c:202 @ 8ab7)
  0.35      6.14     0.04                             blake2b_compress (blake2b-ref.c:206 @ 911b)
  0.35      6.17     0.04                             blake2b_compress (blake2b-ref.c:209 @ 9737)
  0.35      6.21     0.04                             blake2b_compress (blake2b-ref.c:200 @ 85e4)
  0.35      6.24     0.04                             blake2b_compress (blake2b-ref.c:200 @ 8783)
  0.35      6.28     0.04                             blake2b_compress (blake2b-ref.c:207 @ 93ca)
  0.30      6.31     0.03                             blake2b_compress (blake2b-ref.c:178 @ 84bc)
  0.30      6.34     0.03                             blake2b_compress (blake2b-ref.c:201 @ 88f5)
  0.30      6.37     0.03                             blake2b_compress (blake2b-ref.c:202 @ 8968)
  0.30      6.40     0.03                             blake2b_compress (blake2b-ref.c:203 @ 8c64)
